uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooSubsampleVolume,estConcentratedSampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,taxonDatabaseID,taxonDatabaseName,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"e4f93068-6aef-4b02-8556-f7036cb90832","D18","TOOK","TOOK.AOS.littoral3","2021-09-07T18:34Z","2022-05-02","TOOK.20210907.SCHINDLER.2","A00000305861",,,"LEPSP31","Y","Leptodiaptomus sp.",,"genus","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,"Diaptomidae",,"Leptodiaptomus","sp.",,"N",1.200,1.200,1.200,,17,"coarse",7.000,7,17,"N","other (specified in remarks)","N",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Moore","female",,
"268b05ba-612e-4ebd-8ed9-9354af1b17fa","D18","TOOK","TOOK.AOS.littoral3","2021-09-07T18:34Z","2022-05-02","TOOK.20210907.SCHINDLER.2","A00000305861",,,"COPSP","Y","Copepoda sp.",,"subclass","Arthropoda","Crustacea","Maxillopoda","Copepoda",,,,,,,,,"sp.",,"Y",0.200,0.200,0.200,,141,"coarse",7.000,7,141,"N","condition OK","N",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Moore",,,
"a120442b-ae7e-406d-a367-980f80d7b263","D18","TOOK","TOOK.AOS.littoral2","2021-09-07T18:34Z","2022-04-30","TOOK.20210907.SCHINDLER.3","A00000305829",,,"COPSP","Y","Copepoda sp.",,"subclass","Arthropoda","Crustacea","Maxillopoda","Copepoda",,,,,,,,,"sp.",,"Y",0.200,0.200,0.200,,102,"coarse",4.000,7,179,"N","condition OK","N",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Moore",,,
"859fa399-8484-4b32-838d-506abc72ba67","D18","TOOK","TOOK.AOS.buoy.c0","2021-09-07T18:34Z","2022-04-30","TOOK.20210907.TOWNET.1","A00000305893",,,"LEPPRI","Y","Leptodiaptomus pribilofensis",,"species","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,"Diaptomidae",,"Leptodiaptomus","pribilofensis",,"N",1.100,1.100,1.100,,16,"coarse",1.000,38,608,"N","other (specified in remarks)","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Moore","slide",,
"dd2eab1f-8afe-46c5-b12e-fdc5f5d4f3f8","D18","TOOK","TOOK.AOS.littoral3","2021-09-07T18:34Z","2022-05-02","TOOK.20210907.SCHINDLER.2","A00000305861","MONOSTYLA_200X_BA22NEOZ01003",,"MONSP8","Y","Monostyla sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Lecanidae",,"Monostyla","sp.",,"N",0.100,0.100,0.100,0.100,1,"fine",7.000,7,1,"N","condition OK","Y",,,,"Stemberger 1979","N","Rhithron Associates, Inc.",,"B. Moore",,,
"88a4c51c-c2c2-4071-bddf-8b071259dddf","D18","TOOK","TOOK.AOS.littoral2","2021-09-07T18:34Z","2022-04-30","TOOK.20210907.SCHINDLER.3","A00000305829",,,"KERCOC","Y","Keratella cochlearis",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","cochlearis",,"N",0.100,0.100,0.100,0.100,9,"fine",4.000,7,16,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Moore",,,
"215e6e9b-c7e5-4fcf-86cb-aec32203eab4","D18","TOOK","TOOK.AOS.buoy.c0","2021-09-07T18:34Z","2022-04-30","TOOK.20210907.TOWNET.1","A00000305893",,,"COPSP","Y","Copepoda sp.",,"subclass","Arthropoda","Crustacea","Maxillopoda","Copepoda",,,,,,,,,"sp.",,"Y",0.100,0.100,0.100,,219,"coarse",1.000,38,8322,"N","condition OK","N",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Moore",,,
"4ab62c57-c023-4340-8144-7974a26f57e8","D18","TOOK","TOOK.AOS.buoy.c0","2021-09-07T18:34Z","2022-04-30","TOOK.20210907.TOWNET.1","A00000305893",,,"KERCOC","Y","Keratella cochlearis",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","cochlearis",,"N",0.100,0.100,0.100,0.100,3,"fine",1.000,38,114,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Moore",,,
"f2121e89-9b63-4ec0-a6da-b1090ca90a49","D18","TOOK","TOOK.AOS.littoral2","2021-09-07T18:34Z","2022-04-30","TOOK.20210907.SCHINDLER.3","A00000305829",,,"CYCSP1","Y","Cyclopidae sp.",,"family","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Cyclopoida",,,"Cyclopidae",,,"sp.",,"N",0.800,0.800,0.800,,28,"coarse",4.000,7,49,"N","other (specified in remarks)","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Moore","immature",,
"8f265d12-55c9-4c2e-833f-2dc2c7461912","D18","TOOK","TOOK.AOS.littoral3","2021-09-07T18:34Z","2022-05-02","TOOK.20210907.SCHINDLER.2","A00000305861",,,"KELLON","Y","Kellicottia longispina",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Kellicottia","longispina",,"N",0.100,0.100,0.100,0.100,74,"fine",7.000,7,74,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Moore",,,
