uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,startDate,collectDate,eventID,boutNumber,sampleID,sampleCode,sampleCondition,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,affectedByWind,samplerType,sampleNumber,towsTrapsNumber,towsTrapsVolume,zooDepth1,zooDepth2,zooDepth3,remarks,recordedBy,collectedBy,dataQF
"bb955b97-1b37-4403-b000-70d26369fa24","D03","SUGG","SUGG.AOS.littoral1",29.685093,-82.018412,1.1,10.0,"WGS84",30.2,1.0,"lake","2022-02-14T16:41Z","2022-02-14T16:41Z","SUGG.20220214",1,"SUGG.20220214.SCHINDLER.2","A00000173206","OK","NEON.DOC.001194vJ",,"OK - within bout window","N","Schindler-Patalas",2,2,24.00,0.5,1.3,,,"0000-0002-0425-3262","0000-0001-9076-6525",
"edcdac3f-010e-4311-8570-24c5ed5aa39c","D03","SUGG","SUGG.AOS.littoral2",29.687601,-82.020598,1.1,10.0,"WGS84",30.3,1.0,"lake","2022-02-14T16:41Z","2022-02-14T16:41Z","SUGG.20220214",1,"SUGG.20220214.SCHINDLER.3","A00000173174","OK","NEON.DOC.001194vJ",,"OK - within bout window","N","Schindler-Patalas",3,2,24.00,0.5,1.3,,,"0000-0002-0425-3262","0000-0001-9076-6525",
"74d09802-7223-4a49-b4a5-6d8a0d991663","D03","SUGG","SUGG.AOS.buoy.c0",29.688149,-82.017318,10.0,10.0,"WGS84",30.0,10.0,"lake","2022-02-14T16:41Z","2022-02-14T16:41Z","SUGG.20220214",1,"SUGG.20220214.SCHINDLER.1","A00000173205","OK","NEON.DOC.001194vJ",,"OK - within bout window","N","Schindler-Patalas",1,3,36.00,0.5,1.5,1.8,,"0000-0002-0425-3262","0000-0001-9076-6525",
