uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooSubsampleVolume,estConcentratedSampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,taxonDatabaseID,taxonDatabaseName,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"08567e7c-1cad-45bb-8f38-924690849644","D05","CRAM","CRAM.AOS.buoy.c0","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.TOWNET.3",,,,"DAPCAT1","Y","Daphnia catawba",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Daphniidae",,"Daphnia","catawba",,"N",0.800,0.800,0.800,,1,"coarse",31.250,1000,32,"N","condition OK","N","83886","ITIS",,"Brooks, 1957","Y","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"23f237f8-2a9b-47fb-ac6a-d42783306b7d","D05","CRAM","CRAM.AOS.buoy.c0","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.TOWNET.3",,,,"KERCOC","Y","Keratella cochlearis",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","cochlearis",,"N",,,,,75,"fine",2.000,1000,37500,"N","damaged, affecting measurement","N","58360","ITIS",,"Ahlstrom, 1943","Y","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"852c5395-ee41-475c-a857-7eb3047c7c86","D05","CRAM","CRAM.AOS.buoy.c0","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.TOWNET.3",,,,"DIATHO","Y","Diacyclops thomasi",,"species","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Cyclopoida",,,"Cyclopidae",,"Diacyclops","thomasi",,"N",0.800,0.800,0.800,,1,"coarse",31.250,1000,32,"N","condition OK","N","88789","ITIS",,"Yeatman, 1959","Y","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"baeea6c7-d779-46fa-b30a-51a986a9931d","D05","CRAM","CRAM.AOS.littoral2","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.1",,,,"LEPMIN","Y","Leptodiaptomus minutus",,"species","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,"Diaptomidae",,"Leptodiaptomus","minutus",,"N",0.560,0.600,0.600,,1,"coarse",150.000,150,1,"N","condition OK","N","85841","ITIS",,"Pennak, 1953","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"fbf0a4b7-4c7e-400e-83c2-ad95e1819727","D05","CRAM","CRAM.AOS.littoral2","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.1",,,,"NEOSP68","Y","Neocopepoda sp.","Nauplius","infraclass","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda",,,,,,,,"sp.",,"Y",0.160,0.320,0.220,,13,"fine",2.000,10,65,"Y","condition OK","N",,"ITIS",,"Williamson, 1991","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"eef807e8-8b2c-4b55-9206-9cf8cf594b32","D05","CRAM","CRAM.AOS.buoy.c0","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.TOWNET.3",,,,"PLOTRI","Y","Ploesoma triacanthum",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Synchaetidae",,"Ploesoma","triacanthum",,"N",0.100,0.100,0.100,0.100,1,"fine",2.000,1000,500,"N","condition OK","N","59287","ITIS",,"Stemberger, 1979","Y","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"0242c8b8-0060-499d-b712-bac7d6f6fcab","D05","CRAM","CRAM.AOS.buoy.c0","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.TOWNET.3",,,,"GASSP6","Y","Gastropus sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Gastropodidae",,"Gastropus","sp.",,"N",,,,,11,"fine",2.000,1000,5500,"Y","damaged, affecting measurement","N","59175","ITIS",,"Wallace and Snell, 1991","Y","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"7aa1ad2a-77f6-4ae8-a803-fb0986918e51","D05","CRAM","CRAM.AOS.littoral2","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.1",,,,"CHYSPH","Y","Chydorus sphaericus",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,"Chydorus","sphaericus",,"N",0.120,0.240,0.170,,4,"coarse",150.000,150,4,"N","condition OK","N","83993","ITIS",,"Thorp and Covich, 2016","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"ae129382-b101-46eb-84c7-10fb3cf5f585","D05","CRAM","CRAM.AOS.littoral1","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.2",,,,"NEOSP68","Y","Neocopepoda sp.","Copepodid","infraclass","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda",,,,,,,,"sp.",,"N",0.320,0.520,0.402,,28,"coarse",150.000,150,28,"Y","condition OK","N",,"ITIS",,"Williamson, 1991","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"16e2cf15-ac7d-419b-a7db-474f630087db","D05","CRAM","CRAM.AOS.buoy.c0","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.TOWNET.3",,,,"NEOSP68","Y","Neocopepoda sp.","Copepodid","infraclass","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda",,,,,,,,"sp.",,"N",0.400,0.480,0.456,,229,"coarse",31.250,1000,7328,"Y","condition OK","N",,"ITIS",,"Williamson, 1991","Y","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"12fce8dd-2edb-40ad-8113-253e35b95227","D05","CRAM","CRAM.AOS.buoy.c0","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.TOWNET.3",,,,"BDESP","Y","Bdelloidea sp.",,"subclass","Rotifera",,"Bdelloidea","Bdelloidea",,,,,,,,,"sp.",,"N",,,,,1,"fine",2.000,1000,500,"Y","damaged, affecting measurement","N",,"ITIS",,"Thorp and Covich, 2016","Y","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"f128b5ed-246b-4f89-8f89-b72714489485","D05","CRAM","CRAM.AOS.littoral2","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.1",,,,"BOSLON","Y","Bosmina longirostris",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Bosminidae",,"Bosmina","longirostris",,"N",0.200,0.240,0.200,,1,"coarse",150.000,150,1,"N","condition OK","N","83938","ITIS",,"Deevey and Deevey, 1971","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"c1186309-018f-4b06-9446-7c915231cb06","D05","CRAM","CRAM.AOS.littoral1","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.2",,,,"CHYSPH","Y","Chydorus sphaericus",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,"Chydorus","sphaericus",,"N",0.160,0.320,0.232,,25,"coarse",150.000,150,25,"N","condition OK","N","83993","ITIS",,"Thorp and Covich, 2016","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"53a61d3c-082b-4114-bcf6-bad9f844d202","D05","CRAM","CRAM.AOS.littoral2","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.1",,,,"KERTAU","Y","Keratella taurocephala",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","taurocephala",,"N",0.100,0.100,0.100,0.100,1,"fine",2.000,10,5,"N","condition OK","N","58381","ITIS",,"Ahlstrom, 1943","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"77eacbd6-e446-43f4-a675-a6f1a3c183bd","D05","CRAM","CRAM.AOS.littoral1","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.2",,,,"ALOGUT","Y","Alona guttata",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,"Alona","guttata",,"N",0.160,0.200,0.200,,1,"coarse",150.000,150,1,"N","condition OK","N","83975","ITIS",,"Brooks, 1959","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"2764765e-891d-4a4f-bcb5-923809151d1b","D05","CRAM","CRAM.AOS.littoral1","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.2",,,,"CONSP8","Y","Conochiloides sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Gnesiotrocha","Flosculariaceae",,,"Conochilidae",,"Conochiloides","sp.",,"N",0.140,0.160,0.150,0.100,1524,"fine",2.000,25,19050,"Y","condition OK","N","59412","ITIS",,"Stemberger, 1979","N","GEI Consultants Inc.","Water's Edge Scientific","DLN","Large number of organisms clustered",,"legacyData"
"fa82a77b-0d4a-4bc2-b7db-c96e7f82d209","D05","CRAM","CRAM.AOS.littoral1","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.2",,,,"KERTAU","Y","Keratella taurocephala",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","taurocephala",,"N",0.100,0.144,0.100,0.100,4,"fine",2.000,25,50,"N","condition OK","N","58381","ITIS",,"Ahlstrom, 1943","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
