uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooSubsampleVolume,estConcentratedSampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,taxonDatabaseID,taxonDatabaseName,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"19e2ad9e-f096-4817-95cb-7016f5847399","D03","BARC","BARC.AOS.buoy.c0","2016-02-19T17:00Z","2017-11-09","BARC.20160219.TOW.1",,,,"CHYSP2","Y","Chydorus sp.",,"genus","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,"Chydorus","sp.",,,0.250,0.250,0.250,,1,"coarse",0.500,40,80,"N","condition OK","N","83992","ITIS",,"Dodson et al. 2010","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 1.25",,"legacyData"
"817a1d6b-0b45-4cf5-a4a5-488fcc54fd52","D03","BARC","BARC.AOS.littoral1","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.2",,,,"KERTAU","Y","Keratella taurocephala",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","taurocephala",,,0.075,0.100,0.099,,41,"coarse",9.000,20,91,"N","condition OK","N","58381","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 45",,"legacyData"
"a0e9ba6f-b3f0-4e9f-8f54-dcf2e7f832d7","D03","BARC","BARC.AOS.littoral2","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.3",,,,"BDESP","Y","Bdelloidea sp.",,"subclass","Rotifera",,"Bdelloidea","Bdelloidea",,,,,,,,,"sp.",,,0.125,0.150,0.131,,4,"coarse",6.000,20,13,"N","condition OK","N","58246","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 30",,"legacyData"
"86adb585-492c-46cc-9331-5e8796fe22df","D03","BARC","BARC.AOS.littoral2","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.3",,,,"TRISP31","Y","Trichocerca sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Trichocercidae",,"Trichocerca","sp.",,,0.150,0.150,0.150,,1,"coarse",6.000,20,3,"N","other (specified in remarks)","N","59074","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 30 ;fragments",,"legacyData"
"a726937e-a715-480d-abd7-0d90ae7ee2f6","D03","BARC","BARC.AOS.littoral2","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.3",,,,"EUBTUB","Y","Eubosmina tubicen",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Bosminidae",,"Eubosmina","tubicen",,,0.275,0.400,0.325,,4,"coarse",6.000,20,13,"N","condition OK","N","83945","ITIS",,"Pennak 1989","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 30",,"legacyData"
"4fb31661-9585-4eb1-9a11-0db0a1cfaad9","D03","BARC","BARC.AOS.buoy.c0","2016-02-19T17:00Z","2017-11-09","BARC.20160219.TOW.1",,,,"KERTAU","Y","Keratella taurocephala",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","taurocephala",,,0.075,0.100,0.096,,193,"coarse",0.500,40,15440,"N","condition OK","N","58381","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 1.25",,"legacyData"
"77ffcc04-fa5d-493f-998b-17ea954008fa","D03","BARC","BARC.AOS.littoral2","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.3",,,,"CYCSP","Y","Cyclopoida sp.","copepodites","order","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Cyclopoida",,,,,,"sp.",,,0.225,0.400,0.265,,81,"coarse",6.000,20,270,"N","condition OK","N",,,,"Dodson et al. 2010","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 30",,"legacyData"
"d519a6ab-4379-4634-acf0-601a32041a60","D03","BARC","BARC.AOS.littoral1","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.2",,,,"TROPRA1","Y","Tropocyclops prasinus mexicanus",,"subspecies","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Cyclopoida",,,"Cyclopidae",,"Tropocyclops","prasinus mexicanus","mexicanus",,0.425,0.500,0.463,,13,"coarse",9.000,20,29,"N","condition OK","N","88745","ITIS",,"Dodson et al. 2010","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 45",,"legacyData"
"0e354b26-5af4-4842-9029-ac1a4463c8d7","D03","BARC","BARC.AOS.buoy.c0","2016-02-19T17:00Z","2017-11-09","BARC.20160219.TOW.1",,,,"COPSP","Y","Copepoda sp.","nauplii","subclass","Arthropoda","Crustacea","Maxillopoda","Copepoda",,,,,,,,,"sp.",,"Y",0.075,0.175,0.121,,106,"coarse",0.500,40,8480,"N","condition OK","N",,,,"Dodson et al. 2010","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 1.25",,"legacyData"
"ece592ea-9d87-4f4d-a923-b6fba4854454","D03","BARC","BARC.AOS.littoral1","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.2",,,,"GASSTY","Y","Gastropus stylifer",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Gastropodidae",,"Gastropus","stylifer",,,0.100,0.100,0.100,,2,"coarse",9.000,20,4,"N","condition OK","N","59177","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 45",,"legacyData"
"a12f4ab2-d2d4-44d1-8e0b-f2552a719e2d","D03","BARC","BARC.AOS.littoral2","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.3",,,,"SKIMIS","Y","Skistodiaptomus mississippiensis",,"species","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,"Diaptomidae",,"Skistodiaptomus","mississippiensis",,,0.825,1.000,0.928,,8,"coarse",6.000,20,27,"N","condition OK","N","666977","ITIS",,"Dodson et al. 2010","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 30",,"legacyData"
"31cd41c3-13bb-4a8a-af1b-efdeda1a6a4e","D03","BARC","BARC.AOS.littoral1","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.2",,,,"CHYSP","Y","Chydoridae sp.",,"family","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,,"sp.",,,0.300,0.425,0.340,,5,"coarse",9.000,20,11,"N","other (specified in remarks)","N","83973","ITIS",,"Dodson et al. 2010","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 45 ;fragments",,"legacyData"
"4e4bbd8f-3f8b-4460-99c9-e1165967e39c","D03","BARC","BARC.AOS.littoral1","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.2",,,,"EUBTUB","Y","Eubosmina tubicen",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Bosminidae",,"Eubosmina","tubicen",,,0.250,0.450,0.396,,66,"coarse",9.000,20,147,"N","condition OK","N","83945","ITIS",,"Pennak 1989","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 45",,"legacyData"
"824480e7-100b-4a1f-baad-1dd0e2279705","D03","BARC","BARC.AOS.buoy.c0","2016-02-19T17:00Z","2017-11-09","BARC.20160219.TOW.1",,,,"TRISP31","Y","Trichocerca sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Trichocercidae",,"Trichocerca","sp.",,,0.150,0.150,0.150,0.080,1,"coarse",0.500,40,80,"N","other (specified in remarks)","Y","59074","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 1.25 ;fragments",,"legacyData"
"1b72f2ae-af30-442f-9d5e-e1add877d990","D03","BARC","BARC.AOS.littoral1","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.2",,,,"COPSP","Y","Copepoda sp.","nauplii","subclass","Arthropoda","Crustacea","Maxillopoda","Copepoda",,,,,,,,,"sp.",,"Y",0.075,0.200,0.113,,297,"coarse",9.000,20,660,"N","condition OK","N",,,,"Dodson et al. 2010","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 45",,"legacyData"
"cba92e0f-83c7-4db3-9a83-104847557e2a","D03","BARC","BARC.AOS.littoral1","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.2",,,,"ACRHAR","Y","Acroperus harpae",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,"Acroperus","harpae",,,0.375,0.625,0.460,,5,"coarse",9.000,20,11,"N","condition OK","N","84023","ITIS",,"Dodson et al. 2010","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 45",,"legacyData"
"cf7eb9bc-7cc8-48df-9dd4-811b1c8ae4f6","D03","BARC","BARC.AOS.littoral1","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.2",,,,"CALSP1","Y","Calanoida sp.","copepodites","order","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,,,,"sp.",,,0.350,0.775,0.506,,4,"coarse",9.000,20,9,"N","condition OK","N",,,,"Dodson et al. 2010","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 45",,"legacyData"
