taxonID,n_sites,intercept,slope,r_squared,p_value,correlation,pattern,significant
DAPSP1,7,1.2098784410991907,-0.02285008129992586,0.3454072129606084,0.16524056587076305,-0.5877135466880183,Larger in cool,No
CALSP1,7,1.0389747776145453,-0.017113615481957552,0.5141739658278563,0.06973934731743049,-0.7170592484780155,Larger in cool,No
CYCSP,7,0.8630478702494379,-0.015187132861876309,0.7699625956109717,0.009438345956390702,-0.8774751253516944,Larger in cool,Yes
CYCSP1,7,0.8486104149356897,-0.013207528354839971,0.503592662313811,0.07407296194893379,-0.7096426300003482,Larger in cool,No
DIASP,7,1.2187111434419993,-0.010343044935791804,0.20651726370369758,0.3056457841139897,-0.4544417055065458,Larger in cool,No
ASCSP1,7,0.21246879511892208,-0.004079092056242377,0.3754203297419272,0.14352315322658904,-0.612715537375973,Larger in cool,No
GASSP6,7,0.15331598145108524,-0.0017075210580404282,0.03602060118338639,0.6835723053336666,-0.1897909407305486,Larger in cool,No
BOSSP1,7,0.32591308658724494,-0.0016207695540669373,0.016447647107697905,0.7840648618718551,-0.12824838052660847,Larger in cool,No
BDESP,6,0.22775650028795727,-0.0014195749881624781,0.026221931709658558,0.7592252727643352,-0.16193187366809095,Larger in cool,No
COLSP12,7,0.10603018984587974,0.0017370191441622774,0.043197039114693296,0.6547327497444025,0.20783897400317697,Larger in warm,No
