siteID,n_samples,afdm_mean,afdm_sd,afdm_min,afdm_max,date_min,date_max
BARC,86,0.005345348837209301,0.038500749135497725,-0.0011,0.3578,2015-11-30,2019-11-12
CRAM,103,0.001674757281553398,0.0014310779186115742,0,0.0082,2015-05-13,2019-09-25
LIRO,72,0.0018041666666666666,0.0014923690873767611,0,0.0064,2017-04-24,2019-09-10
PRLA,118,0.0029228813559322034,0.0043828026590523594,4e-4,0.0481,2014-05-15,2019-09-10
PRPO,121,0.0029512396694214875,0.0022216778832854877,0,0.0095,2014-05-15,2019-09-16
SUGG,87,0.001503448275862069,0.0011605379943142717,0,0.0048,2016-06-27,2019-11-05
TOOK,78,0.0010064102564102564,0.001184350306153398,-0.001,0.006,2016-08-10,2019-09-10
