siteID,mean_body_length,sd_body_length,min_body_length,max_body_length,n_taxa,matched_temp_mean,matched_temp_sd,matched_temp_range
BARC,0.3393279958699088,0.44628780048145517,0.08,3.525,79,24.008799994798753,NA,24 - 24
SUGG,0.34162932906453075,0.3630857404267135,0.06,2.53,88,23.72737724177748,NA,23.7 - 23.7
PRPO,0.46739325627007217,0.43137890473583845,0.083,1.6235,52,20.152884653276033,NA,20.2 - 20.2
PRLA,0.5121065688165517,0.8991031369265411,0.060000000000000005,6.611,59,19.500095089953113,NA,19.5 - 19.5
CRAM,0.47942033470236994,1.2548027624274662,0.08325,8.71,75,19.348454785946128,NA,19.3 - 19.3
LIRO,0.562309530118155,0.8600276295853571,0.0735,6.1241,79,18.217944153938816,NA,18.2 - 18.2
TOOK,0.48319953451490133,0.5666407973427503,0.0675,2.6084375,48,11.064097232634525,NA,11.1 - 11.1
