siteID,n_days,meanDO_mean,meanDO_sd,meanDO_min,meanDO_max
BARC,2573,7.30194693461826,1.3224166530333388,0,10.3732638888889
CRAM,937,8.375456415782796,1.4557165279004534,0.0299180327868852,13.5905319148936
LIRO,852,8.364021845911672,1.1133335855218318,3.32373626373626,11.7018320610687
PRLA,888,8.861756559974747,3.574023630660403,0.235822784810127,25.1350354609929
PRPO,1210,8.374908110072937,1.8723738645314565,1.83076388888889,13.8562264150943
SUGG,2407,5.587043962654776,1.8907973980979351,0,10.2574125874126
TOOK,399,10.082084070804845,1.2619007177690411,0.52,13.4986170212766
