siteID,mean_body_length,sd_body_length,min_body_length,max_body_length,n_taxa,summer_temp_mean,summer_temp_sd
BARC,0.3252049341065138,0.33898916117383754,0.08,2.3137499999999998,89,31.188875383077,1.1263627738554214
SUGG,0.3705952409213773,0.43137805685991487,0.06,2.6625,92,30.560221084395263,1.4566773371291921
LIRO,0.5334766950378154,0.83425804114109,0.0735,6.04425,86,23.453533427747583,2.108937234506127
CRAM,0.481518144157735,1.0940365603492048,0.08047619047619048,8.71,99,22.85967003296088,2.0422471642445506
PRPO,0.4735892011119658,0.5360536731515796,0.083,3.34,61,22.200234555323973,2.4738669093336463
PRLA,0.5138099202650319,0.8798499502412276,0.060000000000000005,6.666666666666667,68,22.02289975284951,2.2729058019135535
TOOK,0.4871660537605901,0.5228850667620886,0.08,2.718365384615385,63,12.583167849091348,2.6609204607065133
