site_code,site_name,state,latitude,longitude
TOOK,Toolik Lake,Alaska,68.630692,-149.610640
PRLA,Prairie Lake,North Dakota,47.159090,-99.113880
PRPO,Prairie Pothole,North Dakota,47.129839,-99.253147
CRAM,Crampton Lake,Wisconsin,46.209675,-89.473688
LIRO,Little Rock Lake,Wisconsin,45.998269,-89.704767
SUGG,Lake Suggs,Florida,29.687780,-82.017745
BARC,Lake Barco,Florida,29.675982,-82.008414
