siteID,year,month,n_samples,biomass_mean,biomass_sd,biomass_min,biomass_max
BARC,2015,11,1,0,NA,0,0
BARC,2016,6,8,8.5e-4,2.9760952365713795e-4,3e-4,0.0013
BARC,2016,11,8,0.001825,0.0012736337217359069,3e-4,0.0038
BARC,2017,2,8,6.75e-4,4.2003401222826165e-4,1e-4,0.0014
BARC,2017,7,8,6.625e-4,1.5979898086569355e-4,5e-4,0.001
BARC,2017,11,8,4.125e-4,4.8532021829480196e-4,0,0.0015
BARC,2018,2,6,4.8333333333333334e-4,2.48327740429189e-4,1e-4,8e-4
BARC,2018,7,8,0.0017625,0.0016724127139298736,4e-4,0.0055
BARC,2018,11,7,0.0014571428571428572,0.0010212037714663724,3e-4,0.003
BARC,2019,2,8,5.875e-4,3.720119045714225e-4,1e-4,0.0013
BARC,2019,7,8,0.0463875,0.12585511440314442,-0.0011,0.3578
BARC,2019,11,8,0.0026625,0.0050534111534402465,-1e-4,0.015
CRAM,2015,5,1,1e-4,NA,1e-4,1e-4
CRAM,2015,7,6,0.0024666666666666665,0.0016342174477916535,2e-4,0.0048
CRAM,2015,9,6,0.00145,5.958187643906493e-4,7e-4,0.0021
CRAM,2016,4,6,0.003933333333333334,0.0026409594216243964,7e-4,0.0082
CRAM,2016,7,7,0.0019428571428571429,0.0015208080558890866,5e-4,0.005
CRAM,2016,9,7,0.0015142857142857143,0.0011320020191804305,0,0.0027
CRAM,2017,5,8,9.125e-4,7.239524451627625e-4,0,0.0019
CRAM,2017,7,7,0.0014,7.810249675906653e-4,4e-4,0.0024
CRAM,2017,9,7,0.0016571428571428572,0.0015883504471171162,3e-4,0.0044
CRAM,2018,5,8,0.0020875,0.0012977315372823238,2e-4,0.004
CRAM,2018,7,8,0.002625,0.0016934748722249003,0.001,0.0056
CRAM,2018,9,8,0.001175,0.001064693114738434,2e-4,0.0033
CRAM,2019,5,8,0.001325,7.045768740375826e-4,4e-4,0.0023
CRAM,2019,7,8,0.0011125,9.583281573359185e-4,2e-4,0.0028
CRAM,2019,9,8,7.250000000000001e-4,3.453776401067595e-4,4e-4,0.0015
LIRO,2017,4,8,5e-4,5.01426536422407e-4,1e-4,0.0016
LIRO,2017,7,8,0.0022875,0.002240814584029656,0,0.0064
LIRO,2017,9,8,0.0021,0.0016300744943538185,1e-4,0.0043
LIRO,2018,5,8,9.875e-4,7.717096048940394e-4,0,0.002
LIRO,2018,7,8,0.002225,0.0012532814072323444,0.001,0.0042
LIRO,2018,9,8,0.0021,0.0012637811745483697,3e-4,0.0038
LIRO,2019,5,8,0.0018375,0.001876880009864395,2e-4,0.0052
LIRO,2019,7,8,0.001325,0.001003920884759921,3e-4,0.0031
LIRO,2019,9,8,0.002875,0.001190138047214932,0.0015,0.0051
PRLA,2014,5,3,9.666666666666667e-4,2.516611478423583e-4,7e-4,0.0012
PRLA,2014,7,3,0.0012,1.9999999999999998e-4,0.001,0.0014
PRLA,2014,9,8,0.0093875,0.015654158507292192,0.0031,0.0481
PRLA,2015,7,8,0.0042625,0.0011450982490598786,0.0032,0.0065
PRLA,2015,9,8,0.0034875,0.0013484779779969925,0.0025,0.0065
PRLA,2016,4,8,0.0017,5.345224838248488e-4,0.0012,0.0025
PRLA,2016,7,8,0.003025,0.0011080871549012483,0.0018,0.0053
PRLA,2016,9,8,0.001925,7.44023809142845e-4,0.0011,0.0028
PRLA,2017,4,8,0.0019625,8.314144574157944e-4,0.0011,0.0034
PRLA,2017,7,8,0.0029875,0.001032939633141398,0.0019,0.0052
PRLA,2017,9,8,0.0024625,6.988510979764267e-4,0.001,0.0032
PRLA,2018,5,8,0.002925,8.860022573334675e-4,0.0016,0.004
PRLA,2018,7,8,0.0023375,0.0012293290853144247,7e-4,0.0047
PRLA,2018,9,8,0.003175,0.0011597413504743203,0.0019,0.0047
PRLA,2019,4,8,0.00105,3.5456210417116735e-4,6e-4,0.0016
PRLA,2019,9,8,0.0016125,0.0010425757937504044,4e-4,0.0029
PRPO,2014,5,2,0.0018,4.242640687119284e-4,0.0015,0.0021
PRPO,2014,7,2,8.500000000000001e-4,7.07106781186547e-5,8e-4,9e-4
PRPO,2014,9,7,0.0047,0.002612789058968723,0.0014,0.0078
PRPO,2015,7,8,0.0043375,0.0021480472859918944,0.0018,0.0074
PRPO,2015,9,8,0.004075,0.002978854046201564,0.0013,0.0095
PRPO,2016,4,8,0.0015,0.0013103979766249858,1e-4,0.0039
PRPO,2016,7,8,0.0047374999999999995,0.001192760902875581,0.0032,0.0066
PRPO,2016,9,7,0.0019428571428571429,6.528326555791125e-4,0.001,0.0029
