siteID,collectDate,temp_mean_daily,temp_max_daily,temp_min_daily
BARC,2017-08-27,31.50375,31.89,31.25
BARC,2017-08-28,31.2370833333333,31.55,30.88
BARC,2017-08-29,30.911875,31.34,30.54
BARC,2017-08-30,31.2704166666667,32.41,30.51
BARC,2017-08-31,31.8157446808511,33.14,30.56
BARC,2017-09-01,31.6116666666667,32.55,30.94
BARC,2017-09-02,31.4404166666667,32.26,30.8
BARC,2017-09-03,30.7460416666667,31.12,30.34
BARC,2017-09-04,31.5852083333333,33.04,30.3
BARC,2017-09-05,31.0914583333333,31.86,30.45
BARC,2017-09-06,31.0633333333333,31.76,30.43
BARC,2017-09-07,30.5102083333333,30.84,30.13
BARC,2017-09-08,30.3725,31.03,29.86
BARC,2017-09-09,29.9847916666667,30.4,29.57
BARC,2017-09-10,29.463125,29.8,28.94
BARC,2017-09-11,27.9825,28.89,27
BARC,2017-09-12,26.5340425531915,26.97,26.15
BARC,2017-09-13,26.815625,27.49,26.16
BARC,2017-09-14,28.0351063829787,29.23,26.39
BARC,2017-09-15,29.2948837209302,30.77,27.33
BARC,2017-09-16,29.4452173913043,30.06,28.49
BARC,2017-09-17,28.969375,29.45,28.27
BARC,2017-09-18,28.8370833333333,29.39,28.23
BARC,2017-09-19,28.650625,29.14,28.04
BARC,2017-09-20,28.9922916666667,29.98,28.03
BARC,2017-09-21,29.4347916666667,30.75,28.22
BARC,2017-09-22,29.1876595744681,29.96,28.52
BARC,2017-09-23,28.9341666666667,29.38,28.48
BARC,2017-09-24,28.8320833333333,29.24,28.45
BARC,2017-09-25,29.0439583333333,29.59,28.45
BARC,2017-09-26,29.65375,30.67,28.56
BARC,2017-09-27,29.83,30.67,28.85
BARC,2017-09-28,30.10375,31.03,29.12
BARC,2017-09-29,30.18375,31.17,29.28
BARC,2017-09-30,30.2441666666667,31.09,29.33
BARC,2017-10-01,29.3172916666667,29.7,28.82
BARC,2017-10-02,28.419375,28.8,28
BARC,2017-10-03,28.0554166666667,28.4,27.69
BARC,2017-10-04,27.7333333333333,28,27.44
BARC,2017-10-05,27.4866666666667,27.76,27.15
BARC,2017-10-06,27.1964583333333,27.4,27.02
BARC,2017-10-07,28.14625,28.98,27.02
BARC,2017-10-08,28.375625,29.13,27.7
BARC,2017-10-09,28.4508333333333,28.88,27.94
BARC,2017-10-10,29.4654166666667,30.96,28.07
BARC,2017-10-11,29.546875,30.35,28.71
BARC,2017-10-12,29.5202083333333,30.41,28.8
BARC,2017-10-13,29.0206382978723,29.55,28.44
BARC,2017-10-14,28.6233333333333,29.02,28.17
BARC,2017-10-15,28.530625,29.01,28.14
BARC,2017-10-16,28.6022916666667,29.15,28.14
BARC,2017-10-17,29.105,30.29,28.03
BARC,2017-10-18,27.5714583333333,28,26.89
BARC,2017-10-19,26.8147916666667,27.14,26.38
BARC,2017-10-20,26.376875,26.57,26.13
BARC,2017-10-21,26.440625,26.88,26.09
BARC,2017-10-22,26.2714583333333,26.53,26.07
BARC,2017-10-23,26.648125,27.11,26.06
BARC,2017-10-24,26.4016666666667,26.67,26.14
BARC,2017-10-25,26.3379166666667,27.05,25.67
BARC,2017-10-26,25.346875,25.72,24.74
BARC,2017-10-27,24.5797916666667,25.06,24.06
BARC,2017-10-28,24.124375,24.52,23.67
BARC,2017-10-29,24.124375,24.66,23.64
BARC,2017-10-30,23.2885416666667,23.65,22.65
BARC,2017-10-31,22.4908333333333,22.88,22.01
BARC,2017-11-01,22.2652173913043,23.1,21.69
BARC,2017-11-02,22.2275,22.87,21.65
BARC,2017-11-03,22.485,23.22,21.73
BARC,2017-11-04,22.6272916666667,23.26,21.89
BARC,2017-11-05,22.7295833333333,23.27,22.08
BARC,2017-11-06,22.744375,23.12,22.32
BARC,2017-11-07,23.4060416666667,24.62,22.45
BARC,2017-11-08,23.8076595744681,24.98,22.81
BARC,2017-11-09,23.9697916666667,24.97,22.98
BARC,2017-11-10,23.5127083333333,24.01,22.88
BARC,2017-11-11,22.6735416666667,22.89,22.29
BARC,2017-11-12,22.3052083333333,22.52,22.04
BARC,2017-11-13,22.3570833333333,22.63,22.01
BARC,2017-11-14,22.3925,22.76,22.08
BARC,2017-11-15,21.9175,22.19,21.38
BARC,2017-11-16,21.2522916666667,21.5,20.89
BARC,2017-11-17,20.9077083333333,21.23,20.59
BARC,2017-11-18,20.8572916666667,21.41,20.42
BARC,2017-11-19,20.8641666666667,21.29,20.39
BARC,2017-11-20,20.5289583333333,20.86,20.09
BARC,2017-11-21,20.1820833333333,20.41,19.93
BARC,2017-11-22,20.1583333333333,20.41,19.92
BARC,2017-11-23,20.4179166666667,20.85,19.92
BARC,2017-11-24,19.9729166666667,20.09,19.77
BARC,2017-11-25,19.87625,20.27,19.59
BARC,2017-11-26,19.9208333333333,20.37,19.55
BARC,2017-11-27,19.8985416666667,20.44,19.5
BARC,2017-11-28,19.844375,20.43,19.47
BARC,2017-11-29,19.978,20.38,19.46
BARC,2017-11-30,20.1983783783784,20.61,19.68
BARC,2017-12-01,20.27,20.78,19.87
BARC,2017-12-02,20.7135,21.73,19.9
BARC,2017-12-03,20.6076923076923,21.21,20.08
BARC,2017-12-04,20.6393023255814,21.22,20.21
BARC,2017-12-05,20.4985106382979,20.88,20.18
BARC,2017-12-06,20.9289361702128,21.43,20.22
BARC,2017-12-07,20.8517021276596,21.3,20.4
BARC,2017-12-08,20.100652173913,20.39,19.78
BARC,2017-12-09,19.3952173913043,19.78,18.94
BARC,2017-12-10,18.4031914893617,18.93,17.81
BARC,2017-12-11,17.596170212766,17.96,17.18
BARC,2017-12-12,17.1470212765957,17.64,16.77
BARC,2017-12-13,16.8091489361702,17.12,16.48
BARC,2017-12-14,16.4423404255319,16.75,16.14
BARC,2017-12-15,16.6414893617021,17.03,16.13
BARC,2017-12-16,16.5072727272727,16.88,16.31
BARC,2017-12-21,19.3546341463415,19.48,19.07
BARC,2017-12-22,20.0683333333333,20.8,19.39
BARC,2017-12-23,20.2035416666667,20.98,19.5
BARC,2017-12-24,20.1885416666667,20.55,19.74
BARC,2017-12-25,20.3108333333333,20.78,19.62
BARC,2017-12-26,18.9514583333333,19.64,17.99
BARC,2017-12-27,18.3216666666667,18.8,17.91
BARC,2018-11-20,22.49,22.56,22.32
BARC,2018-11-21,21.6173684210526,21.69,21.46
BARC,2018-11-22,21.463,21.68,21.18
BARC,2018-11-23,20.7994736842105,20.83,20.76
BARC,2018-11-24,20.649,20.83,20.39
BARC,2018-11-25,20.8910526315789,21.19,20.49
