siteID,year,month,n_do_samples,meanDO_avg,meanDO_sd,maxDO_avg,minDO_avg
BARC,2017,10,11,6.387845271506389,0.2458231877808519,6.649090909090909,6.024545454545454
BARC,2017,11,30,7.360103040338904,0.37978275258437877,7.516,7.183
BARC,2017,12,28,8.191617313062702,0.31330821776354384,8.354642857142856,7.961785714285714
BARC,2018,1,5,8.851857757452574,0.4629998428921278,8.982000000000001,8.68
BARC,2018,3,24,7.934276617100999,0.2939687580231014,8.117916666666666,7.655
BARC,2018,4,23,7.9500589316696555,0.35971205781542015,8.14695652173913,7.502173913043478
BARC,2018,5,21,6.607362488873454,0.4098947003766245,7.088095238095238,6.1709523809523805
BARC,2018,6,29,6.307583782835725,0.35997825588222887,6.731724137931034,5.8406896551724135
BARC,2018,7,23,5.5799782587989455,0.5914416549311236,5.978695652173913,5.098695652173913
BARC,2018,8,22,5.469412709992514,0.7530533022746784,5.665454545454545,5.133181818181818
BARC,2018,9,30,5.441450260188608,0.554670916318844,6.033,4.548666666666667
BARC,2018,10,31,5.480105751799867,0.4983734487916936,5.881935483870968,4.813870967741935
BARC,2018,11,30,4.970980092085716,1.9222048749550846,6.925333333333334,1.3860000000000006
BARC,2018,12,30,7.052650824455633,2.383863353807278,7.7059999999999995,6.283666666666667
BARC,2019,1,25,8.554952903896336,0.3347825779206022,8.758799999999999,8.1884
BARC,2019,2,28,9.096299611339886,0.3953472882642834,9.227142857142857,8.712857142857143
BARC,2019,3,31,8.122274745753545,0.4967511554498258,8.363225806451613,7.759032258064516
BARC,2019,4,30,7.897356588905517,0.5439136508533178,8.118,7.641666666666667
BARC,2019,5,31,6.878895954877129,0.44683631847070493,7.157741935483871,6.464838709677419
BARC,2019,6,30,5.90694740560041,0.5949538291885925,6.402666666666667,5.193666666666667
BARC,2019,7,31,5.195500413821365,0.4474766797297899,5.686451612903226,4.64258064516129
BARC,2019,8,30,5.769012421630534,0.6440504514969698,6.150333333333333,5.128333333333333
BARC,2019,9,27,5.911607871688035,0.4270218973547288,6.2588888888888885,5.401111111111111
BARC,2019,10,25,5.954464837559916,0.27696828918593885,6.2688,5.6092
BARC,2019,11,15,7.251922887653165,0.6270706912443818,7.419333333333333,7.058666666666666
BARC,2019,12,19,8.656055530024357,0.2874255015892381,8.82,8.439473684210526
BARC,2020,1,31,8.310709332548797,0.2224285320489492,8.480967741935483,8.026129032258064
BARC,2020,2,25,8.602172635908847,0.2440419569258963,8.7476,8.3872
BARC,2020,3,31,8.2953229062615,0.3789719387404417,8.963225806451613,7.965483870967742
BARC,2020,4,30,7.406443734783683,0.17902670518856242,7.699,6.7973333333333334
BARC,2020,5,30,7.1662241801477835,0.21350675969764085,7.393,6.746666666666667
BARC,2020,6,21,6.8440794366963695,0.23811233216572703,7.123333333333333,6.409047619047619
BARC,2020,7,28,6.082419826023735,0.2690412589459087,6.427142857142857,5.566071428571428
BARC,2020,8,29,5.871232637096849,0.2536254324906574,6.22,5.378620689655173
BARC,2020,9,30,6.092114421321691,0.5514928272956089,6.435666666666667,5.618666666666667
BARC,2020,10,31,6.518821676665388,0.13951859724400267,6.796774193548387,6.140645161290323
BARC,2020,11,30,7.51332856330573,0.4445381334230588,7.689666666666667,7.2396666666666665
BARC,2020,12,30,8.890762602151746,0.6639228391756328,9.030666666666667,8.707666666666666
