siteID,year,month,n_samples,afdm_mean,afdm_sd,afdm_min,afdm_max
BARC,2016,6,3,2.9555555555555553e-6,2.1148504894182455e-6,1e-6,5.199999999999999e-6
BARC,2016,11,3,1.4e-6,5.291502622129181e-7,1e-6,2e-6
BARC,2017,2,3,2.02962962962963e-6,1.1558404207282684e-6,8.88888888888889e-7,3.2000000000000003e-6
BARC,2017,7,3,1.6031746031746032e-6,1.530738216030627e-7,1.4285714285714286e-6,1.714285714285714e-6
BARC,2017,11,3,1.3333333333333336e-7,2.3094010767585033e-7,0,4.0000000000000003e-7
BARC,2018,2,3,2.5333333333333334e-6,6.110100926607789e-7,2e-6,3.2000000000000003e-6
BARC,2018,7,3,2e-6,4e-7,1.6e-6,2.4e-6
BARC,2018,11,2,1.8e-6,8.48528137423857e-7,1.2e-6,2.4e-6
BARC,2019,2,3,1.7111111111111112e-6,9.341266469770535e-7,8.000000000000001e-7,2.666666666666667e-6
BARC,2019,7,2,1.8333333333333333e-6,1.649915822768611e-6,6.666666666666667e-7,3e-6
BARC,2019,11,3,2.6499999999999997e-5,4.2038672671719785e-5,5e-7,7.5e-5
CRAM,2015,5,1,6.666666666666667e-7,NA,6.666666666666667e-7,6.666666666666667e-7
CRAM,2015,7,1,1e-6,NA,1e-6,1e-6
CRAM,2015,9,1,2.8e-6,NA,2.8e-6,2.8e-6
CRAM,2016,4,1,2.333333333333333e-6,NA,2.333333333333333e-6,2.333333333333333e-6
CRAM,2016,7,2,2.2e-6,2.82842712474619e-7,2e-6,2.4e-6
CRAM,2016,9,2,0,0,0,0
CRAM,2017,5,3,6.666666666666667e-7,1.1547005383792514e-6,0,2e-6
CRAM,2017,7,2,2.4999999999999998e-6,7.071067811865474e-7,2e-6,2.9999999999999997e-6
CRAM,2017,9,3,1.9e-6,6.557438524302002e-7,1.2e-6,2.5e-6
CRAM,2018,5,3,2.9333333333333333e-6,1.8903262505010436e-6,8.000000000000001e-7,4.4e-6
CRAM,2018,7,3,4.266666666666667e-6,2.3094010767585055e-7,4e-6,4.4e-6
CRAM,2018,9,3,2.333333333333333e-6,1.8929694486000913e-6,1e-6,4.5e-6
CRAM,2019,5,3,2.2666666666666664e-6,6.110100926607787e-7,1.6e-6,2.8e-6
CRAM,2019,7,3,8.000000000000001e-7,0,8.000000000000001e-7,8.000000000000001e-7
CRAM,2019,9,3,2.4999999999999998e-6,4.999999999999999e-7,2e-6,2.9999999999999997e-6
LIRO,2017,4,3,5.444444444444444e-6,6.8502500630214885e-6,1e-6,1.3333333333333332e-5
LIRO,2017,7,3,1.3333333333333336e-7,2.3094010767585033e-7,0,4.0000000000000003e-7
LIRO,2017,9,3,1.6666666666666665e-06,1.3012814197295423e-6,4.0000000000000003e-7,2.9999999999999997e-6
LIRO,2018,5,3,7.375201288244768e-7,9.267475175906523e-7,0,1.777777777777778e-6
LIRO,2018,7,3,3.952380952380952e-6,1.0722219284950194e-6,2.8571428571428573e-6,5e-6
LIRO,2018,9,3,7.311111111111111e-6,9.564362866236152e-6,1.2e-6,1.8333333333333333e-5
LIRO,2019,5,3,1.0666666666666667e-6,2.3094010767585023e-7,8.000000000000001e-7,1.2e-6
LIRO,2019,7,3,2.5555555555555553e-6,5.091750772173155e-7,2e-6,2.9999999999999997e-6
LIRO,2019,9,3,1.3222222222222221e-5,1.835856849095368e-6,1.1333333333333332e-5,1.5e-5
PRLA,2014,5,3,6.3567945849825045e-6,1.543677314771766e-6,4.666666666666666e-6,7.692307692307692e-6
PRLA,2014,7,3,1.6124307436492005e-5,2.468796265683612e-6,1.3513513513513512e-5,1.8421052631578947e-5
PRLA,2014,9,3,2.8940399015025882e-5,5.081253749869538e-6,2.3134328358208956e-5,3.257575757575758e-5
PRLA,2015,7,3,3.766666666666667e-5,1.1547005383792484e-6,3.7000000000000005e-5,3.9e-5
PRLA,2015,9,3,4.944444444444444e-5,3.4694433324435563e-6,4.6666666666666665e-5,5.333333333333333e-5
PRLA,2016,4,3,1.1857142857142857e-5,3.2166657854850584e-6,8.571428571428571e-6,1.5e-5
PRLA,2016,7,3,4.311111111111111e-5,4.682512779045662e-6,3.866666666666667e-5,4.8e-5
PRLA,2016,9,3,3.1666666666666666e-5,5.20416499866533e-6,2.75e-5,3.75e-5
PRLA,2017,4,3,2.3333333333333332e-5,1.666666666666667e-6,2.1666666666666667e-5,2.5e-5
PRLA,2017,7,3,2.9e-5,4.358898943540674e-6,2.6e-5,3.4e-5
PRLA,2017,9,3,4.5793650793650795e-5,8.361629962581518e-7,4.5e-5,4.6666666666666665e-5
PRLA,2018,5,3,3.8e-5,2.000000000000001e-6,3.6e-5,4e-5
PRLA,2018,7,3,5.2000000000000004e-5,2.000000000000001e-6,5e-5,5.4000000000000005e-5
PRLA,2018,9,3,6.333333333333333e-5,4.364357804719843e-6,5.8571428571428575e-5,6.714285714285714e-5
PRLA,2019,4,3,1.1428571428571427e-5,1.4285714285714274e-6,1e-5,1.2857142857142856e-5
PRLA,2019,9,3,2.111111111111111e-6,6.938886664887109e-7,1.3333333333333334e-6,2.666666666666667e-6
PRPO,2014,5,2,1.2648809523809523e-5,2.7358298081622363e-6,1.0714285714285714e-5,1.4583333333333331e-5
PRPO,2014,7,2,8.5e-6,7.071067811865479e-7,8e-6,9e-6
PRPO,2014,9,2,1.1048951048951048e-5,1.7801289596304693e-6,9.79020979020979e-6,1.2307692307692308e-5
PRPO,2015,7,3,1.9784946236559138e-5,1.855944365404621e-6,1.8181818181818185e-5,2.1818181818181814e-5
PRPO,2015,9,3,1.7666666666666665e-5,5.033222956847167e-6,1.3e-5,2.3e-5
PRPO,2016,4,3,1.4583333333333335e-6,1.4433756729740645e-6,6.25e-7,3.125e-6
PRPO,2016,7,3,3.5000000000000004e-5,3.0000000000000018e-6,3.2e-5,3.8e-5
PRPO,2016,9,2,4.666666666666667e-5,1.8856180831641267e-5,3.3333333333333335e-5,6e-5
PRPO,2017,4,3,1.1111111111111112e-6,1.9245008972987525e-6,0,3.3333333333333333e-6
PRPO,2017,7,3,4e-5,8.66025403784439e-6,2.9999999999999997e-5,4.5e-5
PRPO,2017,9,3,3.777777777777778e-5,5.55110933190969e-6,3.3333333333333335e-5,4.4000000000000006e-5
PRPO,2018,5,3,2.0666666666666666e-5,5.033222956847166e-6,1.6e-5,2.6e-5
PRPO,2018,7,3,5.333333333333333e-5,2.8867513459481285e-6,5e-5,5.5e-5
PRPO,2018,9,3,4.5e-5,4.9999999999999996e-6,4e-5,5e-5
PRPO,2019,4,3,1.380952380952381e-5,1.6495721976846467e-6,1.2857142857142856e-5,1.5714285714285715e-5
PRPO,2019,7,3,8.180555555555555e-6,3.2167997957482414e-6,6e-6,1.1875e-5
PRPO,2019,9,3,1.1333333333333334e-5,6.806859285554046e-6,5.999999999999999e-6,1.9e-5
SUGG,2016,6,2,3.1666666666666667e-6,2.121320343559642e-6,1.6666666666666669e-6,4.666666666666666e-6
SUGG,2016,11,3,2.258974358974359e-6,1.5245589784903252e-6,5e-7,3.2000000000000003e-6
SUGG,2017,2,3,1.99047619047619e-6,8.620494485240856e-7,1e-6,2.571428571428571e-6
SUGG,2017,7,3,1.55e-6,1.802775637731995e-7,1.4e-6,1.75e-6
SUGG,2017,11,3,8.000000000000001e-7,0,8.000000000000001e-7,8.000000000000001e-7
SUGG,2018,2,3,1.388888888888889e-6,1.3368010461684406e-6,0,2.666666666666667e-6
SUGG,2018,7,3,1.6666666666666667e-6,3.0550504633038935e-7,1.4e-6,2e-6
SUGG,2018,11,3,5.833333333333333e-7,2.8867513459481284e-7,2.5e-7,7.499999999999999e-7
SUGG,2019,2,3,2.6666666666666667e-7,2.3094010767585033e-7,0,4.0000000000000003e-7
SUGG,2019,7,3,2.5e-6,1.8874586088176874e-6,7.499999999999999e-7,4.5e-6
SUGG,2019,11,3,3.111111111111111e-6,6.938886664887111e-7,2.333333333333333e-6,3.666666666666667e-6
TOOK,2016,8,3,6e-7,3.464101615137754e-7,4.0000000000000003e-7,1e-6
TOOK,2017,6,3,1.3333333333333332e-6,1.1547005383792514e-6,0,2e-6
TOOK,2017,7,3,3.3333333333333335e-7,3.595159254890833e-7,0,7.142857142857143e-7
TOOK,2017,9,3,5.555555555555557e-8,9.622504486493765e-8,0,1.666666666666667e-7
TOOK,2018,6,2,1e-6,2.828427124746189e-7,8.000000000000001e-7,1.2e-6
TOOK,2018,8,3,9.166666666666666e-7,8.036375634160795e-7,0,1.4999999999999998e-6
TOOK,2018,9,3,9.166666666666666e-7,1.4433756729740647e-7,7.499999999999999e-7,1e-6
TOOK,2019,6,3,1.7333333333333332e-6,4.618802153517006e-7,1.2e-6,2e-6
TOOK,2019,7,3,1.1333333333333334e-6,9.451631252505218e-7,4.0000000000000003e-7,2.2e-6
TOOK,2019,9,1,2.0000000000000002e-7,NA,2.0000000000000002e-7,2.0000000000000002e-7
