SpecCode,Genus,Species,SpeciesRefNo,Author,FBname,PicPreferredName,PicPreferredNameM,PicPreferredNameF,PicPreferredNameJ,FamCode,Subfamily,GenCode,SubGenCode,BodyShapeI,Source,AuthorRef,Remark,TaxIssue,Fresh,Brack,Saltwater,DemersPelag,AirBreathing,AirBreathingRef,AnaCat,MigratRef,DepthRangeShallow,DepthRangeDeep,DepthRangeRef,DepthRangeComShallow,DepthRangeComDeep,DepthComRef,LongevityWild,LongevityWildRef,LongevityCaptive,LongevityCapRef,Vulnerability,VulnerabilityClimate,Length,LTypeMaxM,LengthFemale,LTypeMaxF,MaxLengthRef,CommonLength,LTypeComM,CommonLengthF,LTypeComF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Pic,PictureFemale,LarvaPic,EggPic,ImportanceRef,Importance,PriceCateg,PriceReliability,Remarks7,LandingStatistics,Landings,MainCatchingMethod,II,MSeines,MGillnets,MCastnets,MTraps,MSpears,MTrawls,MDredges,MLiftnets,MHooksLines,MOther,UsedforAquaculture,LifeCycle,AquacultureRef,UsedasBait,BaitRef,Aquarium,AquariumFishII,AquariumRef,GameFish,GameRef,Dangerous,DangerousRef,Electrogenic,ElectroRef,Complete,GoogleImage,Comments,Profile,PD50,Emblematic,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS,sci_name
3445,Etheostoma,nigrum,5723,"Rafinesque, 1820",Johnny darter,Etnig_u4.jpg,NA,NA,NA,306,Etheostomatinae,4551,NA,elongated,O,NA,NA,0,1,0,0,benthopelagic,WaterAssumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12193,NA,NA,14.36,NA,7.199999809265137,TL,NA,NA,5723,3.9000000953674316,TL,NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,NA,NA,NA,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,0,"Occur in sandy and muddy, sometimes rocky, pools of headwaters, creeks, and small to medium rivers; and in sandy shores of lakes (Ref. 5723, 10294); also found in streams (Ref. 10294).  Adults feed on midge larvae, mayfly nymphs, caddis larvae, and microcrustaceans; young on entomostracans and tiny midge larvae (Ref. 10294).  Eggs are found clustered on underside of stone and guarded by males (Ref. 7043).",NA,0.5,0,1,1991-05-01T00:00:00Z,303,2008-12-29T00:00:00Z,10,1994-06-06T00:00:00Z,NA,Etheostoma nigrum
3468,Etheostoma,spectabile,5723,"(Agassiz, 1854)",Orangethroat darter,Etspe_u4.jpg,NA,NA,NA,306,Etheostomatinae,4551,NA,elongated,O,NA,NA,0,1,0,0,benthopelagic,WaterAssumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7.199999809265137,TL,NA,NA,5723,4.699999809265137,TL,NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,1,"Inhabit shallow gravel riffles, sometimes rocky runs and pools, of headwaters, creeks and small rivers (Ref. 5723); also found in streams (Ref. 10294).  Adults feed on midge and blackfly larvae, mayfly nymphs, isopods, amphipods, and caddisfly larvae (Ref. 10294).  Distinct pairing during breeding (Ref. 36980).  Eggs are found buried in the substrate (Ref. 7043).",NA,0.5,0,1,1991-05-01T00:00:00Z,303,2008-12-29T00:00:00Z,10,1994-06-08T00:00:00Z,NA,Etheostoma spectabile
3197,Fundulus,notatus,27139,"(Rafinesque, 1820)",Blackstripe topminnow,Funot_u1.jpg,NA,NA,NA,570,NA,1147,NA,elongated,O,NA,NA,0,1,0,0,benthopelagic,WaterAssumed,NA,non-migratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,8,TL,NA,NA,27139,5.800000190734863,TL,NA,NA,12193,NA,NA,NA,FUNOT_U0,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,NA,NA,commercial,NA,27139,0,NA,harmless,NA,no special ability,NA,NA,1,"Inhabits quiet surface water, usually near margins of creeks and small rivers, ponds, and lakes (Ref 5723, 10294).  7.4 cm max TL (Ref. 5723).  Feeds primarily on terrestrial arthropods, emergent stages of aquatic insects, benthic larvae, and midwater insects (Ref. 10294).  Not a seasonal killifish.  Is easy to maintain in the aquarium (Ref. 27139).",NA,0.5,0,1,1991-05-01T00:00:00Z,1472,2007-11-14T00:00:00Z,10,1994-05-28T00:00:00Z,NA,Fundulus notatus
3215,Gambusia,affinis,5723,"(Baird & Girard, 1853)",Mosquitofish,Gaaff_f1.jpg,Gaaff_m1.jpg,Gaaff_f3.jpg,NA,216,Poeciliinae,3826,NA,fusiform / normal,O,NA,NA,0,1,1,0,benthopelagic,WaterAssumed,NA,potamodromous,NA,NA,NA,NA,NA,NA,NA,3,796,NA,NA,38.36,NA,5.099999904632568,TL,7,TL,50932,3.9000000953674316,TL,NA,NA,12193,NA,NA,NA,GAAFF_U0,GAAFF_F0,NA,NA,7364,minor commercial,unknown,NA,Mosquito control., ,NA,seines, ,1,0,0,0,0,0,0,0,0,0,never/rarely, ,NA,never/rarely,NA,commercial,based mainly on breeding,2060,0,NA,potential pest,NA,no special ability,NA,NA,1,"Most abundant in lower reaches of streams (Ref. 44091).  Adults inhabit standing to slow-flowing water; most common in vegetated ponds and lakes, backwaters and quiet pools of streams.  Found frequently in brackish water (Ref. 5258).  Pelagic and surface predatory fish (Ref. 94816).  Feed on zooplankton, small insects and detritus (Ref. 5258, 10294).  Used as live food for carnivorous aquarium fishes.  Viviparous (Ref. 5258, 30578).  Effective in mosquito control and widely introduced, but found to compete with indigenous fish and to upset the ecological balance (Ref. 6351).",NA,0.5,0,1,1991-05-01T00:00:00Z,65,2016-05-03T00:00:00Z,1,1996-09-26T00:00:00Z,NA,Gambusia affinis
3371,Lepomis,cyanellus,5723,"Rafinesque, 1819",Green sunfish,Lecya_u7.jpg,Lecya_m6.jpg,NA,NA,302,NA,4789,NA,short and / or deep,O,NA,NA,0,1,0,0,benthopelagic,WaterAssumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,72492,7.5,72465,21,NA,31,TL,NA,NA,5723,20,TL,NA,NA,12193,960,NA,4699,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,commercial,NA,1739,never/rarely,NA,NA,NA,NA,1,4699,harmless,NA,no special ability,NA,NA,1,"Adults inhabit quiet pools and backwaters of sluggish streams, lakes and ponds.  Often near vegetation (Ref. 5723, 10294).  Juveniles feed on immature insects and microcrustaceans (Ref. 10294).  Nest spawners (Ref. 79012).",NA,0.5001000165939331,0,1,1991-05-01T00:00:00Z,2,2014-07-11T00:00:00Z,1,1994-04-26T00:00:00Z,NA,Lepomis cyanellus
3372,Lepomis,gibbosus,86798,"(Linnaeus, 1758)",Pumpkinseed,Legib_u7.jpg,NA,NA,NA,302,NA,4789,NA,short and / or deep,O,NA,NA,0,1,1,0,benthopelagic,WaterAssumed,NA,potamodromous,51243,0,41,1998,NA,NA,NA,12,72493,13,72462,49.37,NA,40,TL,NA,NA,86798,9.899999618530273,TL,NA,NA,12193,630,NA,4699,LEGIB_U1,NA,NA,NA,9696,subsistence fisheries,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,commercial,based mainly on breeding,7020,1,4699,potential pest,NA,no special ability,NA,NA,1,"Inhabits vegetated lakes and ponds, as well as quiet pools of creeks and small rivers (Ref. 86798).  Feeds on small fishes and other vertebrates (Ref. 1998), as well as fish eggs (Ref. 2058).  Adtults rarely form schools but occur in pairs or loose aggregations of three to four individuals; young individuals aggregate in fairly large schools (Ref. 120693). An introduced species in Europe which avoids swift waters and occurs in estuaries with a salinity up to 18.2 ppt  (Ref. 59043).  Reported in Europe to prey on a wide variety of invertebrates (Ref. 59043).  Considered undesirable catch (Ref. 30578).",NA,0.5001000165939331,0,1,1991-05-01T00:00:00Z,10,2020-01-24T00:00:00Z,97,2003-01-28T00:00:00Z,NA,Lepomis gibbosus
3375,Lepomis,macrochirus,5723,"Rafinesque, 1819",Bluegill,Lemac_m0.jpg,NA,NA,NA,302,NA,4789,NA,short and / or deep,O,NA,NA,0,1,0,0,benthopelagic,WaterAssumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,72462,8.170000076293945,273,33.46,NA,41,TL,NA,NA,5723,19.049999237060547,TL,NA,NA,12193,2150,NA,4699,LEMAC_U0,NA,NA,NA,27639,minor commercial,unknown,NA,NA,NA,NA, , ,0,0,0,0,0,0,0,0,1,0,commercial, ,1739,never/rarely,NA,commercial,based mainly on capture,1672,1,4699,potential pest,NA,no special ability,NA,NA,1,"Adults are found frequently in lakes, ponds, reservoirs and sluggish streams (Ref. 5723, 10294); occur primarily in reservoirs in Hawaii; preferably live in deep weed beds (Ref. 5723).  Active mainly during dusk and dawn.  They feed upon snails, small crayfish, insects, worms and small minnows (Ref. 5723).  Young feed on crustaceans, insects and worms (Ref. 5723, 10294).",NA,0.5001000165939331,0,1,1991-05-01T00:00:00Z,2,2014-07-11T00:00:00Z,1,1994-04-26T00:00:00Z,NA,Lepomis macrochirus
3377,Lepomis,megalotis,5723,"(Rafinesque, 1820)",Longear sunfish,Lemeg_u2.jpg,Lemeg_m1.jpg,NA,NA,302,NA,4789,NA,short and / or deep,O,NA,"<i>Lepomis peltastes</i> Cope, 1870 is considered as a valid species in Page & Burr (2011: Ref. 86798).",1,1,0,0,benthopelagic,WaterAssumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,12193,12,72462,49.96,NA,24,TL,NA,NA,5723,11.5,TL,NA,NA,4543,790,NA,4699,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,never/rarely,NA,public aquariums,NA,273,0,NA,harmless,NA,no special ability,NA,NA,1,"Nearly always found in shallow water, preferring habitats with dense vegetation in small lakes, ponds and slow moving rivers and streams.  Feed on small aquatic invertebrates, insects, and occasionally small fishes.  (Ref. 4543, 10294).",NA,0.5001000165939331,0,1,1991-05-01T00:00:00Z,65,2013-07-18T00:00:00Z,1,1994-04-26T00:00:00Z,NA,Lepomis megalotis
2851,Luxilus,cornutus,86798,"(Mitchill, 1817)",Common shiner,Lucor_u4.jpg,NA,NA,NA,756,Pogonichthyinae,10166,NA,fusiform / normal,O,NA,NA,0,1,0,0,demersal,WaterAssumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,72462,NA,NA,16.38,NA,18,TL,NA,NA,86798,8.300000190734863,TL,NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,never/rarely,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,1,"Inhabits rocky pools near riffles in clear, cool creeks and small to medium rivers.  Sometimes occurs in lakes in northern part of range (Ref. 86798).  Oviparous (Ref. 205), nest spawners (Ref. 52559).  Frequently hybridizes with <i>Luxilus chrysocephalus</i> in areas where the ranges of these two species overlap (Ref. 86798).",NA,0.5019999742507935,0,1,1991-05-01T00:00:00Z,10,2016-08-08T00:00:00Z,10,1994-05-14T00:00:00Z,NA,Luxilus cornutus
3384,Micropterus,punctulatus,5723,"(Rafinesque, 1819)",Spotted bass,Mipun_u0.jpg,NA,NA,Mipun_j0.jpg,302,NA,4289,NA,short and / or deep,O,NA,NA,0,1,0,0,demersal,WaterAssumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12193,NA,NA,45.4,NA,63.5,TL,NA,NA,40637,30,TL,NA,NA,12193,4650,NA,40637,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,NA,NA,NA,NA,NA,1,4699,harmless,NA,no special ability,NA,NA,1,"Inhabit clear, gravelly flowing pools and runs of creeks and small to medium rivers (Ref. 6465); also found in streams, lakes and reservoirs (Ref. 10294).  Juveniles feed on small crustaceans and midge larvae while adults eat insects, larger crustaceans, frogs, worms, grubs and small fish (Ref. 6465, 10294).",NA,0.5001000165939331,0,1,1991-05-01T00:00:00Z,65,2021-07-19T00:00:00Z,10,1994-06-02T00:00:00Z,NA,Micropterus punctulatus
3385,Micropterus,salmoides,86798,"(Lacepède, 1802)",Largemouth black bass,Misal_u1.jpg,NA,NA,NA,302,NA,4289,NA,fusiform / normal,O,NA,NA,0,1,0,0,benthopelagic,WaterAssumed,NA,NA,NA,0,6,1998,NA,NA,NA,23,46974,11,72462,42.43,NA,97,TL,NA,NA,86798,40,TL,NA,NA,556,10090,NA,4699,MISAL_U1,NA,NA,NA,9696,minor commercial,unknown,NA,NA,NA,NA,hooks and lines,NA,0,0,0,0,0,0,0,0,0,0,commercial,NA,12108,never/rarely,NA,public aquariums,based mainly on capture,9183,1,4699,potential pest,NA,no special ability,NA,NA,1,"Inhabit lakes, ponds, swamps, and backwaters and pools of creeks, and small to large rivers (Ref. 86798).  Usually found over mud or sand and common in impoundments (Ref. 5723).  They prefer quiet, clear water and over-grown banks.  Adults feed on fishes, crayfish and frogs; young feed on crustaceans, insects and small fishes.  Sometimes cannibalistic.  They don't feed during spawning; as well as when the water temperature is below 5°C and above 37°C (Ref. 30578).  Builds nest  at 25 mm-203 mm deep (Ref. 1998). An introduced species in Europe reported to avoid fast-flowing waters and to occur in estuaries with a salinity up to 13 ppt (Ref. 59043).  Popular game fish in North America.  Preyed upon by herons, bitterns, and kingfishers (Ref. 1998).  Excellent food fish (Ref. 1998).",NA,0.5001000165939331,0,1,1991-05-01T00:00:00Z,10,2019-08-17T00:00:00Z,97,2003-03-24T00:00:00Z,NA,Micropterus salmoides
