scientific_name,n
Ambloplites rupestris,396
Cottus cognatus,269
Culaea inconstans,1647
Etheostoma exile,730
Lepomis macrochirus,2301
Lepomis sp.,359
Micropterus salmoides,630
Notemigonus crysoleucas,129
Perca flavescens,699
Pimephales promelas,9143
Thymallus arcticus,402
Umbra limi,670
