family,species,location,latitude,longitude,sampling_habitat,acclimation,temperature_of_acclimation_c,length_acclimation_period_days,rate_acclimation_c_day,methodology,endpoint,heating_rate_c_min,length_experiment_min,body_length_mm,weight_g,life_stage,thermal_limit_c,sd_thermal_limit,nindividuals,phylogeny,realm_affinity,source,reference
Centrarchidae,Micropterus salmoides,Central Oklahoma US,35.659999999999997,-97.47,Freshwater,experimental,10,14,NA,dynamic,OS,1,NA,NA,NA,NA,33.35,1.8971030550000001,17,yes,Freshwater,Lutterschmidt & Hutchinson 1997,118
Centrarchidae,Micropterus salmoides,Central Oklahoma US,35.659999999999997,-97.47,Freshwater,experimental,10,14,NA,dynamic,LOE,1,NA,NA,NA,NA,30.69,1.7711578130000001,17,yes,Freshwater,Lutterschmidt & Hutchinson 1997,118
Centrarchidae,Micropterus salmoides,Lake Erie,42.08,-81.34,Freshwater,collection,0.7,NA,NA,dynamic,LOE,NA,NA,NA,NA,adults,12,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Micropterus salmoides,Minessota US,46.78,-94.7,Freshwater,experimental,20,NA,NA,static,death,NA,1440,NA,NA,fry,31.2,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Micropterus salmoides,Minessota US,46.78,-94.7,Freshwater,experimental,24,NA,NA,static,death,NA,1440,NA,NA,fry,32.4,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Micropterus salmoides,Minessota US,46.78,-94.7,Freshwater,experimental,27,NA,NA,static,death,NA,1440,NA,NA,fry,33,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Micropterus salmoides,Minessota US,46.78,-94.7,Freshwater,experimental,30,NA,NA,static,death,NA,1440,NA,NA,fry,31.7,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Micropterus salmoides,Minessota US,46.78,-94.7,Freshwater,experimental,20,NA,NA,static,death,NA,5760,NA,NA,fry,33.7,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Pomoxis nigromaculatus,Lake Erie,42.08,-81.34,Freshwater,collection,23.8,NA,NA,dynamic,LOE,NA,NA,NA,NA,adults,34.9,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Pomoxis nigromaculatus,Illinois US,40.200000000000003,-89.47,Freshwater,experimental,24,NA,NA,dynamic,NA,NA,NA,NA,NA,juveniles,35,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Pomoxis nigromaculatus,Illinois US,40.200000000000003,-89.47,Freshwater,experimental,30,NA,NA,dynamic,NA,NA,NA,NA,NA,juveniles,38,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Pomoxis nigromaculatus,Illinois US,40.200000000000003,-89.47,Freshwater,experimental,32,NA,NA,dynamic,NA,NA,NA,NA,NA,juveniles,40.39,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Pomoxis nigromaculatus,Minessota US,46.78,-94.7,Freshwater,experimental,7.2,NA,NA,dynamic,NA,NA,NA,NA,NA,NA,28.9,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Cyprinidae,Campostoma anomalum,New River drainage US,36.94,-81.05,Freshwater,experimental,30,7,NA,static,death,NA,10080,50-100,NA,sub-adults,31,NA,10,yes,Freshwater,Cherry et al. 1977,39
Cyprinidae,Campostoma anomalum,NA,NA,NA,Freshwater,experimental,7.5,NA,NA,dynamic,LOE,1,NA,NA,NA,NA,28.8,0.74,10,yes,Freshwater,Beitinger et al. 2000,12
Cyprinidae,Campostoma anomalum,NA,NA,NA,Freshwater,experimental,23,NA,NA,dynamic,LOE,1,NA,NA,NA,NA,35.8,NA,8,yes,Freshwater,Beitinger et al. 2000,12
Cyprinidae,Campostoma anomalum,NA,NA,NA,Freshwater,experimental,26,NA,NA,dynamic,LOE,1.7000000000000001E-2,NA,NA,NA,NA,37.2,0.33,13,yes,Freshwater,Beitinger et al. 2000,12
Cyprinidae,Campostoma anomalum,Central Oklahoma US,35.659999999999997,-97.47,Freshwater,experimental,10,14,NA,dynamic,OS,1,NA,NA,NA,NA,31.75,0.61725197399999998,18,yes,Freshwater,Lutterschmidt & Hutchinson 1997,118
Cyprinidae,Campostoma anomalum,Central Oklahoma US,35.659999999999997,-97.47,Freshwater,experimental,10,14,NA,dynamic,LOE,1,NA,NA,NA,NA,29.82,0.374165739,18,yes,Freshwater,Lutterschmidt & Hutchinson 1997,118
Cyprinidae,Campostoma anomalum,Indian Creek Ohio US,39.97,-82.81,Freshwater,collection,24,NA,NA,dynamic,LOE,0.8,NA,65,NA,NA,37.7,0.8,6,yes,Freshwater,Mundahl 1990,140
Cyprinidae,Chrosomus erythrogaster,NA,NA,NA,Freshwater,experimental,26,NA,NA,dynamic,LOE,1.7000000000000001E-2,NA,NA,NA,NA,35.9,0.42,12,yes,Freshwater,Beitinger et al. 2000,12
Cyprinidae,Chrosomus erythrogaster,Little Coyote Creek Colfax New Mexico US,36.159999999999997,-105.2,Freshwater,collection,21.5,NA,NA,dynamic,LOE,0.5,NA,NA,NA,NA,32.33,NA,70,yes,Freshwater,Scott 1987,174
Cyprinidae,Chrosomus erythrogaster,Little Coyote Creek Colfax New Mexico US,36.159999999999997,-105.2,Freshwater,collection,10,NA,NA,dynamic,LOE,0.5,NA,NA,NA,NA,29.27,NA,70,yes,Freshwater,Scott 1987,174
Cyprinidae,Chrosomus erythrogaster,Little Coyote Creek Colfax New Mexico US,36.159999999999997,-105.2,Freshwater,collection,0,NA,NA,dynamic,LOE,0.5,NA,NA,NA,NA,19.71,NA,70,yes,Freshwater,Scott 1987,174
Cyprinidae,Chrosomus erythrogaster,Little Coyote Creek Colfax New Mexico US,36.159999999999997,-105.2,Freshwater,collection,1,NA,NA,dynamic,LOE,0.5,NA,NA,NA,NA,18.17,NA,70,yes,Freshwater,Scott 1987,174
Cyprinidae,Chrosomus erythrogaster,Little Coyote Creek Colfax New Mexico US,36.159999999999997,-105.2,Freshwater,collection,0,NA,NA,dynamic,LOE,0.5,NA,NA,NA,NA,17.55,NA,70,yes,Freshwater,Scott 1987,174
Cyprinidae,Chrosomus erythrogaster,Little Coyote Creek Colfax New Mexico US,36.159999999999997,-105.2,Freshwater,collection,19,NA,NA,dynamic,LOE,0.5,NA,NA,NA,NA,25.36,NA,70,yes,Freshwater,Scott 1987,174
Cyprinidae,Chrosomus neogaeus,Toronto Ontario Canada,43.64,-79.489999999999995,Freshwater,experimental,20,NA,NA,dynamic,NA,NA,NA,NA,NA,NA,28.5,NA,NA,yes,Freshwater,Wismer & Christie 1987,211
Cyprinidae,Chrosomus neogaeus,Toronto Ontario Canada,43.64,-79.489999999999995,Freshwater,experimental,15,NA,NA,static,death,NA,NA,NA,NA,NA,31,NA,NA,yes,Freshwater,Wismer & Christie 1987,211
Cyprinidae,Chrosomus neogaeus,Toronto Ontario Canada,43.64,-79.489999999999995,Freshwater,experimental,22,NA,NA,static,death,NA,NA,NA,NA,NA,32.2,NA,NA,yes,Freshwater,Wismer & Christie 1987,211
Cyprinidae,Chrosomus neogaeus,Toronto Ontario Canada,43.64,-79.489999999999995,Freshwater,experimental,25,NA,NA,static,death,NA,NA,NA,NA,NA,32.2,NA,NA,yes,Freshwater,Wismer & Christie 1987,211
Cyprinidae,Chrosomus neogaeus,Toronto Ontario Canada,43.64,-79.489999999999995,Freshwater,experimental,9,NA,NA,static,death,NA,NA,NA,NA,NA,27,NA,NA,yes,Freshwater,Wismer & Christie 1987,211
Cyprinidae,Chrosomus neogaeus,Toronto Ontario Canada,43.64,-79.489999999999995,Freshwater,experimental,15,NA,NA,static,death,NA,NA,NA,NA,NA,28,NA,NA,yes,Freshwater,Wismer & Christie 1987,211
Cyprinidae,Chrosomus neogaeus,Toronto Ontario Canada,43.64,-79.489999999999995,Freshwater,experimental,19,NA,NA,static,death,NA,NA,NA,NA,NA,30.3,NA,NA,yes,Freshwater,Wismer & Christie 1987,211
Cyprinidae,Chrosomus neogaeus,Toronto Ontario Canada,43.64,-79.489999999999995,Freshwater,experimental,25,NA,NA,static,death,NA,NA,NA,NA,NA,31.3,NA,NA,yes,Freshwater,Wismer & Christie 1987,211
Cyprinidae,Cyprinella lutrensis,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,LOE,0.3,NA,30-70,NA,NA,37.6,1.06043927,12,yes,Freshwater,Carveth et al. 2006,35
Cyprinidae,Cyprinella lutrensis,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,LOE,0.3,NA,30-70,NA,NA,40.4,1.06043927,12,yes,Freshwater,Carveth et al. 2006,35
Cyprinidae,Cyprinella lutrensis,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,flaring operculum,0.3,NA,30-70,NA,NA,39.3,0.17673987799999999,12,yes,Freshwater,Carveth et al. 2006,35
Cyprinidae,Cyprinella lutrensis,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,flaring operculum,0.3,NA,30-70,NA,NA,40.6,0.35347975700000001,12,yes,Freshwater,Carveth et al. 2006,35
Cyprinidae,Cyprinella lutrensis,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,death,0.3,NA,30-70,NA,NA,39.5,0.53021963500000002,12,yes,Freshwater,Carveth et al. 2006,35
Cyprinidae,Cyprinella lutrensis,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,death,0.3,NA,30-70,NA,NA,40.9,0.35347975700000001,12,yes,Freshwater,Carveth et al. 2006,35
Cyprinidae,Cyprinella lutrensis,NA,NA,NA,Freshwater,experimental,22,NA,NA,dynamic,LOE,0.3,NA,NA,NA,NA,36.2,0.49,12,yes,Freshwater,Beitinger et al. 2000,12
Cyprinidae,Cyprinella lutrensis,NA,NA,NA,Freshwater,experimental,26,NA,NA,dynamic,LOE,1.7000000000000001E-2,NA,NA,NA,NA,38.1,0.42,11,yes,Freshwater,Beitinger et al. 2000,12
Cyprinidae,Cyprinella lutrensis,Virgin River Utha US,37.200000000000003,-113.26,Freshwater,experimental,10,14,NA,dynamic,LOE,0.24,NA,61.47,2.92,NA,30.1,1.05,6,yes,Freshwater,Deacon et al. 1987,56
Cyprinidae,Cyprinella lutrensis,Virgin River Utha US,37.200000000000003,-113.26,Freshwater,experimental,15,14,NA,dynamic,LOE,0.24,NA,61.47,2.92,NA,33.07,0.59,6,yes,Freshwater,Deacon et al. 1987,56
Cyprinidae,Cyprinella lutrensis,Virgin River Utha US,37.200000000000003,-113.26,Freshwater,experimental,25,14,NA,dynamic,LOE,0.24,NA,61.47,2.92,NA,38.8,0.71,6,yes,Freshwater,Deacon et al. 1987,56
Cyprinidae,Cyprinella lutrensis,Central Oklahoma US,35.659999999999997,-97.47,Freshwater,experimental,10,14,NA,dynamic,OS,1,NA,NA,NA,NA,34.04,0.89442719100000001,20,yes,Freshwater,Lutterschmidt & Hutchinson 1997,118
Cyprinidae,Cyprinella lutrensis,Central Oklahoma US,35.659999999999997,-97.47,Freshwater,experimental,10,14,NA,dynamic,LOE,1,NA,NA,NA,NA,30.7,1.00895986,20,yes,Freshwater,Lutterschmidt & Hutchinson 1997,118
Cyprinidae,Cyprinella lutrensis,South Canadian River,34.86,-96.73,Freshwater,experimental,25,14,NA,dynamic,OS,NA,NA,NA,NA,NA,38.99,0.16,10,yes,Freshwater,Matthews & Maness 1979,129
Cyprinidae,Cyprinella lutrensis,Brazos River Texas US,33.06,-101.04,Freshwater,experimental,25,28,1,dynamic,LOE,0.3,NA,NA,NA,NA,37.99,0.4,NA,yes,Freshwater,King et al. 1985,104
Cyprinidae,Cyprinella lutrensis,Brazos River Texas US,33.06,-101.04,Freshwater,experimental,25,28,1,dynamic,LOE,0.3,NA,NA,NA,NA,36.47,0.8,NA,yes,Freshwater,King et al. 1985,104
Cyprinidae,Cyprinella lutrensis,Brazos River Texas US,33.06,-101.04,Freshwater,experimental,25,28,1,dynamic,LOE,0.3,NA,NA,NA,NA,37.15,0.88,NA,yes,Freshwater,King et al. 1985,104
Cyprinidae,Cyprinella lutrensis,Brazos River Texas US,33.06,-101.04,Freshwater,experimental,25,28,1,dynamic,LOE,0.3,NA,NA,NA,NA,37.8,0.2,NA,yes,Freshwater,King et al. 1985,104
Cyprinidae,Cyprinella lutrensis,Brazos River Texas US,33.06,-101.04,Freshwater,experimental,25,28,1,dynamic,LOE,0.3,NA,NA,NA,NA,37.81,0.17,NA,yes,Freshwater,King et al. 1985,104
Cyprinidae,Cyprinella lutrensis,Denton Creek Denton County Texas US,33.17,-97.32,Freshwater,experimental,30,14,NA,dynamic,LOE,0.33,NA,NA,NA,NA,39.65,0.23,10,yes,Freshwater,Rutledge & Beitinger 1989,168
Cyprinidae,Cyprinella lutrensis,North Texas State University US,33.21,-97.15,Freshwater,experimental,20,7,NA,dynamic,LOE,0.3,NA,NA,NA,adults,35.0348,1.2522,11,yes,Freshwater,Carrier & Beitinger 1988,34
Cyprinidae,Cyprinella lutrensis,Walnut Creek McClain County Oklahoma US,37.909999999999997,-122.06,Freshwater,experimental,15,7,NA,dynamic,OS,1,NA,NA,NA,NA,31.9638,0.93587405400000001,82,yes,Freshwater,Manness & Hutchison 1980,123
Cyprinidae,Cyprinus carpio,Central Institute of Fisheries Education Mumbai India,19.14,72.819999999999993,Freshwater,experimental,25,30,NA,dynamic,LOE,0.3,NA,NA,NA,juveniles,39.7,0.75934181999999995,6,yes,Freshwater,Chatterjee et al. 2004,36
Cyprinidae,Cyprinus carpio,Central Institute of Fisheries Education Mumbai India,19.14,72.819999999999993,Freshwater,experimental,30,30,NA,dynamic,LOE,0.3,NA,NA,NA,juveniles,40.6,0.171464282,6,yes,Freshwater,Chatterjee et al. 2004,36
Cyprinidae,Cyprinus carpio,Central Institute of Fisheries Education Mumbai India,19.14,72.819999999999993,Freshwater,experimental,35,30,NA,dynamic,LOE,0.3,NA,NA,NA,juveniles,42.9,0.24494897400000001,6,yes,Freshwater,Chatterjee et al. 2004,36
Cyprinidae,Cyprinus carpio,Central Institute of Fisheries Education Mumbai India,19.14,72.819999999999993,Freshwater,experimental,25,30,NA,dynamic,death,0.3,NA,NA,NA,juveniles,39.8,0.14696938500000001,6,yes,Freshwater,Chatterjee et al. 2004,36
Cyprinidae,Cyprinus carpio,Central Institute of Fisheries Education Mumbai India,19.14,72.819999999999993,Freshwater,experimental,30,30,NA,dynamic,death,0.3,NA,NA,NA,juveniles,40.9,0.171464282,6,yes,Freshwater,Chatterjee et al. 2004,36
Cyprinidae,Cyprinus carpio,Central Institute of Fisheries Education Mumbai India,19.14,72.819999999999993,Freshwater,experimental,35,30,NA,dynamic,death,0.3,NA,NA,NA,juveniles,42.9,9.7979590000000005E-2,6,yes,Freshwater,Chatterjee et al. 2004,36
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,5,10,NA,dynamic,LOE,6.6000000000000003E-2,NA,83.1,15.5,fingerlings juveniles,30.4,1.039230485,12,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,10,10,NA,dynamic,LOE,6.6000000000000003E-2,NA,95.6,20.100000000000001,fingerlings juveniles,26.5,0.69282032299999996,12,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,12,10,NA,dynamic,LOE,6.6000000000000003E-2,NA,68,9.8000000000000007,fingerlings juveniles,28.5,1.469693846,6,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,20,10,NA,dynamic,LOE,6.6000000000000003E-2,NA,77.400000000000006,12.7,fingerlings juveniles,37.4,0.24494897400000001,6,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,5,10,NA,dynamic,LOE,0.16600000000000001,NA,83.1,15.5,fingerlings juveniles,29.4,1.039230485,12,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,10,10,NA,dynamic,LOE,0.16600000000000001,NA,95.6,20.100000000000001,fingerlings juveniles,26.9,0.73484692299999999,6,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,12,10,NA,dynamic,LOE,0.16600000000000001,NA,68,9.8000000000000007,fingerlings juveniles,29.6,1.224744871,6,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,20,10,NA,dynamic,LOE,0.16600000000000001,NA,77.400000000000006,12.7,fingerlings juveniles,35.8,0.97979589700000003,6,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,5,10,NA,dynamic,LOE,0.3,NA,83.1,15.5,fingerlings juveniles,30.7,0.69282032299999996,12,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,10,10,NA,dynamic,LOE,0.3,NA,95.6,20.100000000000001,fingerlings juveniles,25.8,1.3856406459999999,12,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,12,10,NA,dynamic,LOE,0.3,NA,68,9.8000000000000007,fingerlings juveniles,30.4,1.224744871,6,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,20,10,NA,dynamic,LOE,0.3,NA,77.400000000000006,12.7,fingerlings juveniles,34.6,0.97979589700000003,6,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,5,10,NA,dynamic,LOE,0.5,NA,83.1,15.5,fingerlings juveniles,31.9,1.3856406459999999,12,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,10,10,NA,dynamic,LOE,0.5,NA,95.6,20.100000000000001,fingerlings juveniles,27,1.3856406459999999,12,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,12,10,NA,dynamic,LOE,0.5,NA,68,9.8000000000000007,fingerlings juveniles,30.9,0.73484692299999999,6,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,20,10,NA,dynamic,LOE,0.5,NA,77.400000000000006,12.7,fingerlings juveniles,35.6,0.73484692299999999,6,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,5,10,NA,dynamic,LOE,0.83,NA,83.1,15.5,fingerlings juveniles,30.9,0.69282032299999996,12,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,10,10,NA,dynamic,LOE,0.83,NA,95.6,20.100000000000001,fingerlings juveniles,27.9,0.69282032299999996,12,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,12,10,NA,dynamic,LOE,0.83,NA,68,9.8000000000000007,fingerlings juveniles,30.4,1.224744871,6,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Institute of Biology of Inland Water Russia,55.71,37.57,Freshwater,experimental,20,10,NA,dynamic,LOE,0.83,NA,77.400000000000006,12.7,fingerlings juveniles,36,0.97979589700000003,6,yes,Freshwater,Golovanov & Smirnov 2007,77
Cyprinidae,Cyprinus carpio,Rybinsk Water Reservoir Russia,58.44,38.42,Freshwater,experimental,15,14,NA,dynamic,LOE,NA,NA,NA,NA,juveniles,35.6,0.1,NA,yes,Freshwater,Golovanov 2013,78
Cyprinidae,Cyprinus carpio,Rybinsk Water Reservoir Russia,58.44,38.42,Freshwater,experimental,15,14,NA,dynamic,death,NA,NA,NA,NA,juveniles,36.5,0.2,NA,yes,Freshwater,Golovanov 2013,78
Cyprinidae,Cyprinus carpio,Lake Erie,42.08,-81.34,Freshwater,collection,23.3,NA,NA,dynamic,LOE,NA,NA,NA,NA,adults,39,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,10,NA,NA,dynamic,LOE,0.3,NA,NA,NA,NA,31.48,0.11700000000000001,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,15,NA,NA,dynamic,LOE,0.3,NA,NA,NA,NA,33.86,0.14000000000000001,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,20,NA,NA,dynamic,LOE,0.3,NA,NA,NA,NA,34.18,0.154,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,25,NA,NA,dynamic,LOE,0.3,NA,NA,NA,NA,35,0.151,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,30,NA,NA,dynamic,LOE,0.3,NA,NA,NA,NA,35.62,0.151,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,35,NA,NA,dynamic,LOE,0.3,NA,NA,NA,NA,40.92,0.151,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,15,NA,NA,dynamic,OS,0.3,NA,NA,NA,NA,35.15,0.14199999999999999,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,20,NA,NA,dynamic,OS,0.3,NA,NA,NA,NA,37.82,0.156,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,25,NA,NA,dynamic,OS,0.3,NA,NA,NA,NA,39.33,0.151,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,30,NA,NA,dynamic,OS,0.3,NA,NA,NA,NA,41.65,0.151,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,35,NA,NA,dynamic,OS,0.3,NA,NA,NA,NA,42.69,0.151,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,10,NA,NA,static,death,0.3,NA,NA,NA,NA,28.3,NA,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,15,NA,NA,static,death,0.3,NA,NA,NA,NA,29.2,NA,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,20,NA,NA,static,death,0.3,NA,NA,NA,NA,33.5,NA,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,25,NA,NA,static,death,0.3,NA,NA,NA,NA,35.2,NA,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,30,NA,NA,static,death,0.3,NA,NA,NA,NA,37.2,NA,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Dahuofang reservoir Yingpan China,26.47,99.15,Freshwater,experimental,35,NA,NA,static,death,0.3,NA,NA,NA,NA,37.3,NA,NA,yes,Freshwater,Sheng & Xu 2008,177
Cyprinidae,Cyprinus carpio,Lichenskie Lake Poland,52.34,18.350000000000001,Freshwater,collection,27.3,NA,NA,dynamic,death,0.03,NA,NA,NA,juveniles,40.6,0.55000000000000004,8,yes,Freshwater,Horoszewicz 1973,95
Cyprinidae,Cyprinus carpio,Pohofelice Czech Republic,48.96,16.55,Freshwater,collection,26.7,NA,NA,dynamic,death,0.09,NA,NA,NA,juveniles,40.2,0.28000000000000003,10,yes,Freshwater,Horoszewicz 1973,95
Cyprinidae,Cyprinus carpio,Pohofelice Czech Republic,48.96,16.55,Freshwater,collection,24.5,NA,NA,dynamic,death,0.09,NA,NA,NA,juveniles,39.7,0.15,10,yes,Freshwater,Horoszewicz 1973,95
Cyprinidae,Cyprinus carpio,Pohofelice Czech Republic,48.96,16.55,Freshwater,collection,24.5,NA,NA,dynamic,death,0.1,NA,NA,NA,juveniles,40.9,0.41,10,yes,Freshwater,Horoszewicz 1973,95
Cyprinidae,Luxilus cornutus,Missouri US,38.32,-92.54,Freshwater,experimental,26,NA,NA,dynamic,LOE,1.7000000000000001E-2,NA,NA,NA,NA,35.7,0.39,18,yes,Freshwater,Beitinger et al. 2000,12
Cyprinidae,Luxilus cornutus,NA,NA,NA,Freshwater,experimental,15,NA,NA,dynamic,OS,1,NA,NA,NA,NA,31.9,0.48,8,yes,Freshwater,Beitinger et al. 2000,12
Cyprinidae,Luxilus cornutus,Toronto Ontario Canada,43.64,-79.489999999999995,Freshwater,experimental,5,NA,NA,static,death,NA,5760,NA,NA,NA,26.7,NA,NA,yes,Freshwater,Hart 1952,84
Cyprinidae,Luxilus cornutus,Toronto Ontario Canada,43.64,-79.489999999999995,Freshwater,experimental,10,NA,NA,static,death,NA,5760,NA,NA,NA,28.6,NA,NA,yes,Freshwater,Hart 1952,84
Cyprinidae,Luxilus cornutus,Toronto Ontario Canada,43.64,-79.489999999999995,Freshwater,experimental,15,NA,NA,static,death,NA,5760,NA,NA,NA,30.3,NA,NA,yes,Freshwater,Hart 1952,84
Cyprinidae,Luxilus cornutus,Knoxville Tenesee US,35.96,-83.92,Freshwater,experimental,25,NA,NA,static,death,NA,5760,NA,NA,NA,32.3,NA,NA,yes,Freshwater,Hart 1952,84
Cyprinidae,Luxilus cornutus,NA,NA,NA,Freshwater,experimental,20,NA,NA,static,death,NA,5760,NA,NA,NA,31,NA,NA,yes,Freshwater,Hart 1952,84
Cyprinidae,Luxilus cornutus,Buffalo creek Erie County New York US,42.6,-78.47,Freshwater,experimental,15,28,NA,dynamic,OS,1,NA,NA,NA,NA,31.9469,0.393387341,10,yes,Freshwater,Kowaski et al. 1978,108
