siteID,year,month,temp_mean_monthly,temp_sd_monthly,temp_max_monthly,temp_min_monthly,n_days_monthly
LIRO,2021,10,15.28828630332147,3.2965293271967955,20.29,9.83,31
LIRO,2021,11,9.053888888888887,0.5510884248172812,9.84,8.44,3
LIRO,2022,5,15.377664867379158,2.855374146317383,20.8,7.36,27
LIRO,2022,6,21.481491018008295,2.146375387856945,27.47,17.83,28
LIRO,2022,7,24.279277149739563,0.8715513914689949,28.42,22.06,31
LIRO,2022,8,23.396426005639942,0.8516782112807816,27.4,21.55,31
LIRO,2022,9,19.983185135933805,2.4656489264621717,24.59,14.2,30
LIRO,2022,10,11.501255256151376,2.6355478699593893,16.7,7.83,31
LIRO,2022,11,8.92213888888889,0.08474456444931444,10.14,8.26,3
LIRO,2023,5,17.19277493162399,1.7944255971958243,22.25,12.57,22
LIRO,2023,6,22.33180694952906,2.3526687414830083,27.73,16.7,30
LIRO,2023,7,23.784128631892013,1.1167212698277487,27.48,20.96,31
LIRO,2023,8,23.177366020361475,1.3638343986731578,26.95,20.43,31
LIRO,2023,9,19.500762263593373,2.035257969431934,24.68,16.85,30
LIRO,2023,10,12.965908942834696,3.3437455087348305,20.18,7.87,31
LIRO,2023,11,6.109945652173915,0.692846892391264,7.93,5.02,12
LIRO,2024,3,1.864311406415714,1.7776692863751775,5.19,0.02,16
LIRO,2024,4,7.167450103379799,2.976433936018667,11.38,0.14,30
LIRO,2024,5,15.711283764203465,2.4683087209824284,19.78,9.91,31
LIRO,2024,6,20.798722369976353,1.48962493785074,24.77,17.75,30
LIRO,2024,7,24.007312996727443,1.3969564445646736,27.64,20.41,31
LIRO,2024,8,23.45140953136449,1.5645306767110698,29.6,20.65,31
LIRO,2024,9,21.10453382419589,0.9472905725439656,23.88,18.86,30
LIRO,2024,10,13.516813538269323,2.5247809507640997,20.04,10.27,31
LIRO,2024,11,8.669084635588739,1.0753250084837676,11.44,6.8,14
LIRO,2025,4,7.802264215883319,1.4179800011038057,11.16,5.76,13
LIRO,2025,5,15.723841229253829,2.598197884072254,22.01,9.5,31
LIRO,2025,6,21.093660446859896,2.6047772995974245,27.85,17.22,30
LIRO,2025,7,25.274895755622534,1.2091739274769113,29.26,22.58,31
LIRO,2025,8,23.461755555389775,1.688641137169952,26.55,19.76,31
LIRO,2025,9,19.49861354233828,1.691792557234089,24.55,16.35,30
LIRO,2025,10,15.034666028266349,3.295483666130084,22.1,9.6,29
LIRO,2025,11,7.0112458881578945,0.9880740334282737,8.7,5.33,8
PRLA,2017,9,12.79627083333335,0.03620975975323723,13.51,12.29,2
PRLA,2017,10,8.779670921985817,2.788626127663263,13.56,2.66,30
PRLA,2018,6,21.359200088618476,1.7868936877620871,26.22,16.28,30
PRLA,2018,7,23.46207935804033,1.281367145434932,26.27,20.46,31
PRLA,2018,8,21.46275051144791,1.9643312270013953,25.96,16.7,31
PRLA,2018,9,15.412907558378874,3.5616374486184554,19.97,8.02,29
PRLA,2018,10,4.812486979166667,2.333406739257973,8.78,1.07,16
PRLA,2019,5,11.800599206959493,2.3101329114821287,18.99,8.55,27
PRLA,2019,6,19.828833459389898,1.5857321162907192,25.1,17.01,30
PRLA,2019,7,24.62166279540955,0.9894664052954605,28.13,22.27,31
PRLA,2019,8,21.36476818273929,2.1919550963998904,25.8,17.15,31
PRLA,2019,9,17.143605299079873,2.1399546046759466,20.83,11.45,30
PRLA,2019,10,5.666847826086955,3.3489540507915647,11.56,0.29,23
PRLA,2020,6,20.2365662634012,0.8248548478792633,22.17,18.37,18
PRLA,2021,6,21.71440041371158,1.0520662206591413,26.19,19.11,15
PRLA,2021,7,24.210690905899558,1.268896684422697,28.64,21.1,31
PRLA,2021,8,21.57377921304447,1.8685850799871684,26.61,17.76,31
PRLA,2021,9,17.102907801418432,1.775220061237522,20.32,13.13,30
PRLA,2021,10,15.48974328774062,3.6573442411504273,18.39,5.12,10
PRLA,2022,5,13.375759191176474,2.150486173697144,17.39,10.51,8
PRLA,2022,6,20.596487609461516,2.078205563853592,27.61,15.28,27
PRLA,2022,7,23.96811489844499,1.5261714758255818,29.29,20.47,30
PRLA,2022,8,22.139665264023705,0.9700074568097804,28.03,19.11,31
PRLA,2022,9,17.2653712962963,2.695976330595679,22.37,12.34,30
PRLA,2022,10,8.735690774422329,3.543038208054742,16.62,4.05,31
PRLA,2022,11,6.42291666666667,0.1838477631085022,7.14,5.93,2
PRLA,2023,5,17.904133700194638,2.248607588246497,22.32,13.3,21
PRLA,2023,6,22.98313600890523,1.7858650618917093,27.81,18.11,30
PRLA,2023,7,22.568379693270067,1.4617625620739412,26.35,19.99,31
PRLA,2023,8,21.787535003651737,1.431391991128333,25.76,18.92,31
PRLA,2023,9,18.512302457627452,2.100001116773266,24.32,16.26,30
PRLA,2023,10,11.695343617021278,3.119487981583978,18.42,8.79,25
PRLA,2024,4,8.13410256410256,NA,8.29,7.89,1
PRLA,2024,5,13.677348473182807,2.720591175264222,20.1,7.7,31
PRLA,2024,6,19.04478644994487,1.8285153569891437,26.47,15.55,30
PRLA,2024,7,23.86436392287434,2.2326818822365935,29.32,19.11,31
PRLA,2024,8,22.01688917908461,2.054032454427586,28.18,18.28,31
PRLA,2024,9,19.020867274929465,1.2856989357002433,23.17,16.21,30
PRLA,2024,10,10.854786233811584,2.127296073614637,17.04,7.49,31
PRLA,2024,11,6.030744047619046,0.6852756509906113,7.55,5.19,7
PRLA,2025,4,9.175903025044011,0.898727506691589,11.49,7.23,14
PRLA,2025,5,14.203743279569895,3.362945739888248,20.48,8.18,31
PRLA,2025,6,18.993806859485115,2.293661748124969,25.19,14.53,30
PRLA,2025,7,23.38115236115556,1.46238895825113,31.69,20.15,31
PRLA,2025,8,22.040117278269257,1.1189672926227623,27.26,18.99,31
PRLA,2025,9,18.29739100352827,1.7871988494187065,23.11,14.23,30
PRLA,2025,10,11.721107286197562,3.9476111690310676,20.24,6.73,29
PRPO,2018,5,22.466968641114953,0.12501253685506475,23.71,21.79,2
PRPO,2018,6,21.64375664963579,2.046094332952104,27.77,15.27,30
PRPO,2018,7,23.597331757716482,1.3990484874062432,26.77,19.89,31
PRPO,2018,8,21.56431840291325,2.288259760431659,26.5,15.8,31
PRPO,2018,9,15.479236512505299,3.9344206539323006,21.2,7.38,30
PRPO,2018,10,6.519077380952382,1.6145552768939713,9.24,4.22,7
PRPO,2019,5,17.7375,0.6894291116568848,18.86,17.25,2
PRPO,2019,6,19.865014990208138,1.880788984014502,25.74,16.41,30
PRPO,2019,7,24.518890436240866,1.1695920098272912,28.7,21.72,31
PRPO,2019,8,21.201766673686063,2.4586669899922615,26.43,15.66,31
PRPO,2019,9,16.8218064267293,2.4987972109510466,21.84,10.44,30
PRPO,2019,10,5.606069354690823,3.107029170775622,10.8,-0.12,21
PRPO,2020,6,20.86754768828858,1.6376817276690647,25.81,18.05,29
PRPO,2020,7,24.304694626460577,1.2242058259856015,29.2,21.57,31
PRPO,2020,8,23.43439066100866,1.115551949882065,26.44,18.81,31
PRPO,2020,9,15.498526719995604,1.4282986043848864,18.97,12.26,25
PRPO,2020,10,6.355614724150532,4.189540289366444,11.76,0.43,17
PRPO,2021,5,13.535405355832733,1.18853053022821,16.24,11.54,6
PRPO,2021,6,21.213244069087718,2.154502696340369,24.38,13.54,25
PRPO,2021,7,24.202519467577137,1.2307315304483077,28.83,21.06,31
PRPO,2021,8,21.474676109607454,2.014959833325231,27.23,17.51,31
PRPO,2021,9,17.14207147916881,1.8451732793933378,21.02,12.12,30
PRPO,2021,10,10.546120689655178,4.8772529380934335,19.05,4.5,29
PRPO,2022,5,13.120901265994753,3.6294141459821834,20.93,3.5,29
PRPO,2022,6,20.193653053702306,2.7471518764726905,28.44,14.04,30
PRPO,2022,7,24.192481596653938,1.6477288097295077,29.3,20.56,30
PRPO,2022,8,22.205854085640198,1.183054464124592,25.74,18.47,31
PRPO,2022,9,17.157736979861003,2.7980733072412534,22.67,12.26,30
PRPO,2022,10,8.960419277433463,3.6563730816989843,16.36,3.15,27
PRPO,2022,11,6.615625,0.5347905980814327,7.9,5.65,4
PRPO,2023,5,18.21250923864039,2.568634783771189,22.75,12.02,22
PRPO,2023,6,23.434735479800583,2.2719831070832193,29.52,17.31,30
PRPO,2023,7,22.811989404488475,2.035128578725549,28.84,19.25,31
PRPO,2023,8,21.928276800113256,1.838694255728322,28.56,18.44,31
PRPO,2023,9,18.63501418951419,2.1872023525679243,25.32,16.2,30
PRPO,2023,10,11.166990740740744,3.4090949703312527,19.04,5.28,27
PRPO,2024,4,9.40836450945626,1.1271262952751653,11.35,7.6,6
