taxonID,mean_length_mm,std_dev,min_length,max_length,n_samples,avg_density_per_L
CHYSP2,0.295,0.06757711644237764,0.22,0.37,4,0.5486111111111112
CYCSTR,1.16,0.024494897427831803,1.13,1.18,4,0.43295124612716535
DAPLON,1.7077499999999999,1.2170626866901038,0.889,3.5,4,0.18469118000480655
EPISP12,1.26125,0.14755648635917926,1.1,1.41,4,0.39954703781758577
EURSP6,0.5,0.28577380332470415,0.27,0.88,4,0.4834474885844749
HARSP,0.294,0.02707397274136177,0.275,0.325,4,1.3263888888888888
LECBUL,0.1075,0.014999999999999998,0.09,0.12,4,0.125
SIDSP1,0.63,0.47138094997570706,0.11,1.1,4,0.28692772170151404
TRIPOR,0.1875,0.02500000000000001,0.15,0.2,4,0.1975040706523663
ALOSP1,0.3275,0.067175144212722,0.28,0.375,3,0.23976407914764078
ASCSAL,0.14266666666666666,0.008736894948054097,0.133,0.15,3,22.298218337675433
BOSSP,0.292,0.013856406460550998,0.276,0.3,3,2.371638762049721
BRACAU,0.13,0,0.13,0.13,3,36.666666666666664
BRAZAH,0.08666666666666667,0.002309401076758497,0.084,0.088,3,125.47453703703705
CAMSP12,0.5666666666666667,0.1181453906563152,0.475,0.7,3,0.09722222222222221
CEPGIB,0.14033333333333334,0.008020806277010637,0.132,0.148,3,1.1425672247590055
DISHAM,0.29666666666666663,0.005773502691896262,0.29,0.3,3,1.0370370370370372
EUBSP3,0.5833333333333333,0.11503622617824931,0.47,0.7,3,0.7962962962962963
KERTIC,0.1,0,0.1,0.1,3,7.62582716772886
LECLUN2,0.09333333333333334,0.011547005383792516,0.08,0.1,3,0.1552511415525114
LEPSIC1,1.5203333333333333,0.20396159769263758,1.378,1.754,3,0.5138888888888888
MACSP22,0.318,0.045738386504117094,0.284,0.37,3,0.15818958227634028
NOTSP12,0.21666666666666667,0.02886751345948128,0.2,0.25,3,3.763888888888889
OXYSP3,0.44999999999999996,0.21213203435596426,0.3,0.6,3,0.4444444444444445
PLAQUA,0.12566666666666668,0.030924639582917263,0.1,0.16,3,0.8194444444444444
POLPED,0.7733333333333333,0.19629909152447275,0.66,1,3,0.2777777777777778
PTYBRA,0.18,0.0069282032302755165,0.176,0.188,3,12.696410451547438
SIMSP3,1.1433333333333333,0.27682726262659413,0.85,1.4,3,0.19444444444444445
STESP21,0.5366666666666666,0.21548395145191981,0.37,0.78,3,1.013888888888889
TRIELO,0.24333333333333335,0.08144527815247078,0.15,0.3,3,0.3493150684931507
TYLSP1,0.20666666666666667,0.04725815626252608,0.17,0.26,3,3.0138888888888893
ASPHER,0.345,0.0636396103067893,0.3,0.39,2,0.3213470319634703
CONSP1,0.14,0.014142135623730944,0.13,0.15,2,0.381468797564688
DAPROS,1.4925,0.3019345955666558,1.279,1.706,2,0.9024979854955679
DISACU,0.3015,0.0021213203435596446,0.3,0.303,2,0.16666666666666669
DISROS,0.2965,0.004949747468305837,0.293,0.3,2,0.10416666666666666
EUBSP2,0.125,0.03535533905932737,0.1,0.15,2,0.4166666666666667
LECINE,0.125,0,0.125,0.125,2,0.2785813174001749
LECLIG,0.112,NA,0.112,0.112,2,0.2769216133942161
LECSTO,0.1,0,0.1,0.1,2,0.4791666666666667
PLAPAT2,0.125,0.007071067811865481,0.12,0.13,2,0.10254946727549466
ROTSP1,0.469,0.0608111831820431,0.426,0.512,2,0.08333333333333333
TRIPOC,0.14,0.05656854249492379,0.1,0.18,2,0.04166666666666666
AGLLEP,2.541,NA,2.541,2.541,1,1.3888888888888888
CERRET,0.3,NA,0.3,0.3,1,3.8055555555555554
DAPSP2,0.65,NA,0.65,0.65,1,8.333333333333334
DIPPRO,0.188,NA,0.188,0.188,1,0.04517633343048673
EPILAC,2.35,NA,2.35,2.35,1,0.13318112633181126
EUCAGI,1,NA,1,1,1,0.2916666666666667
EUCELE,1.025,NA,1.025,1.025,1,2.0833333333333335
KERSER1,0.1,NA,0.1,0.1,1,2.0833333333333335
LATOCC1,0.55,NA,0.55,0.55,1,0.375
LECCLO,0.5,NA,0.5,0.5,1,0.1388888888888889
LEPKIN1,2.25,NA,2.25,2.25,1,0.625
MACALB,1.2,NA,1.2,1.2,1,0.04166666666666666
ORTMOD,0.938,NA,0.938,0.938,1,0.2663622526636225
PARSP58,0.6,NA,0.6,0.6,1,0.2916666666666667
PLOTRU,0.2,NA,0.2,0.2,1,0.09680365296803652
POLSP33,1.15,NA,1.15,1.15,1,0.4166666666666667
SCASP9,0.85,NA,0.85,0.85,1,0.3611111111111111
SIDSP,0.25,NA,0.25,0.25,1,0.4166666666666667
TRILON,0.213,NA,0.213,0.213,1,16.438356164383563
