siteID,year,n_days,chl_mean,chl_median,chl_sd,chl_min,chl_max,chl_q25,chl_q75,chl_daily_range
BARC,2017,69,0.9662204816635598,0.905173611111111,0.4705813208951093,0.01,3.78,0.519581881533101,1.43594890510949,1.4531884057971014
BARC,2018,247,2.9543956913242524,2.22688811188811,2.477211303882066,0,21.93,1.3525043219076052,3.64550472386512,3.966558704453441
BARC,2019,302,1.1053698734963695,0.915193304311774,0.865941628072205,0,11.36,0.36846354166666706,1.6814492640961824,2.077549668874172
BARC,2020,346,3.144798387282799,2.258655303030305,2.934033685366907,0.22,35.67,1.5552997794459025,3.6956390845070426,3.6645953757225436
BARC,2021,358,3.02157052424989,2.42452592019673,2.0005884354155343,0,29.5,1.6705258983227975,3.5929259468413552,5.94268156424581
BARC,2022,219,1.2039038921266454,1.18,0.19697218253328352,0.03,6.6,1.05,1.339580895223805,1.0354337899543378
BARC,2023,338,2.4732632472666034,2.2026265981368454,1.2801774795599374,0.32,58,1.49503032081377,2.84791843390959,3.630532544378698
BARC,2024,339,2.763055791712827,2.75314079422383,1.3903605350216075,0.1,16.72,1.495023729566205,3.7894938084303753,4.432005899705015
BARC,2025,307,2.1056580680116457,1.8619512195122,1.0411361066348985,0,11.37,1.3493353256647351,2.61174295774648,2.8982410423452767
BARC,2026,86,1.485981364327893,1.4107603583426651,0.4138566384899831,0.27,5.9,1.2210598867595825,1.6647657894401124,2.130813953488372
LIRO,2017,4,2.21002643557423,2.024375,0.5485047117042322,1.22,6.48,1.9324791666666674,2.3019222689075627,2.4675000000000002
LIRO,2018,106,3.375032801008857,3.05183827042523,1.0447231058750437,0.99,19.58,2.676047196273235,3.8446530249110302,4.381037735849056
LIRO,2019,156,3.9922403364451307,3.6454363636363647,2.1353657825055237,0.39,23.25,2.6641999507836798,4.685699557733682,6.83275641025641
LIRO,2020,110,3.7505067597999213,2.8994747340425553,2.122010441639989,0.95,17.2,2.373928571428575,4.393459038220548,4.633
LIRO,2021,146,6.07265847283654,2.929453101169295,8.73964236359448,0.55,99.38,2.0112326803631175,4.476041523678795,7.220273972602739
LIRO,2022,135,3.2422486464718023,3.03415770609319,1.1102753490526853,0.45,18.48,2.3420569236719952,3.9908158567774903,6.8068888888888885
LIRO,2023,187,3.901769183185479,2.90106870229008,2.2268007735174264,0.21,38.92,2.341925278219395,4.877161317853175,9.48711229946524
LIRO,2024,215,2.990184475091305,2.59208333333333,1.1481312581627747,0.63,15.61,2.217415683336455,3.344802420949245,5.731860465116279
LIRO,2025,154,3.704582410655161,3.06891943774793,1.755032881414856,0.54,21.45,2.3682467788283272,4.664458333333338,8.241233766233766
PRLA,2018,114,38.621883015244165,37.2627108134921,7.1273219830028465,24.01,81.91,35.09726740939298,39.41770168439717,10.138684210526316
PRLA,2019,145,32.84274089254455,8.68517730496454,51.949478041012505,3.91,319.01,7.18335877862595,31.5048314606742,18.736275862068972
PRLA,2020,22,4.811715012392444,4.60807598394555,1.962952998835839,1.2,16.51,3.0725249809668824,6.667054984006227,5.9763636363636365
PRLA,2022,91,26.12366737268066,24.9272569444444,5.0443096351874965,16.45,42.01,22.9898432055749,30.1532424283034,7.312637362637363
PRLA,2023,157,28.692103677800816,19.8414079422383,23.319393362667704,2.46,108.9,10.3454736842105,38.6177253218884,13.167133757961782
PRLA,2024,177,18.000445461651545,15.016350877193,10.494852300420357,0.33,108.68,12.2468055555556,18.1293055555556,7.537005649717514
PRLA,2025,182,15.912634095182925,15.9478298611111,6.608018168429987,2.42,60.11,13.06439099049705,18.049791666666675,5.40456043956044
PRPO,2018,46,12.851261438026071,10.8260763888889,4.978979058658031,1.66,31.49,9.816901041666666,13.58067686522895,6.836956521739131
PRPO,2019,145,11.845616343713935,7.44721428571429,13.572764272586822,2.47,156.39,6.02702127659574,11.4835416666667,13.26855172413793
PRPO,2020,135,14.915182888512245,9.20378472222222,13.632163869636091,0,66.61,6.27432633998435,24.28949397643725,7.269259259259258
PRPO,2021,177,36.32078665621896,26.0172161172161,26.670505869425373,1.33,170.71,20.0009090909091,42.8352430555556,21.584406779661016
PRPO,2022,164,19.710029354789746,17.79928819444445,13.678063171386931,0.09,182.98,11.955364583333349,23.513732638888875,14.464390243902438
PRPO,2023,169,15.817592878418916,13.8191319444444,9.371661595785165,0,109.7,11.5625,17.4600694444444,11.705207100591716
PRPO,2024,190,10.597854582751152,10.0669246552059,3.5028624248640226,0,39.35,8.288677095473966,12.88936113633015,8.016736842105264
PRPO,2025,131,14.08098107058731,12.8351219512195,5.158193289068298,0.03,33.92,10.188594515240851,17.7248647084623,8.81473282442748
SUGG,2017,17,30.72515452366422,31.1954098360656,1.1711075564513147,27.14,32.46,30.9522535211268,31.2361463414634,1.0141176470588231
SUGG,2018,261,35.62014791097316,33.5159191176471,6.507606742667607,26.85,67.02,31.5514982578397,36.5077292576419,4.115785440613026
SUGG,2019,315,16.209459924243895,14.8859375,4.139772681878741,6.36,33.85,13.434791666666651,19.617175159698,1.909873015873016
SUGG,2020,257,15.848094060152132,11.0958007117438,17.499210875565048,3,140.24,9.86108013937282,11.9181603773585,3.8041634241245132
SUGG,2021,355,15.328550262780956,13.4471428571429,6.447717337916582,8.79,75.53,12.63340277777775,15.319068678331352,5.294394366197183
SUGG,2022,198,18.880710001735522,19.142586800042352,6.849975467843264,3.57,56.01,13.464609452000825,22.997717344961252,10.00459595959596
SUGG,2023,225,18.448564928956763,15.9519444444444,7.473176926215144,1.51,132.53,13.5132291666667,20.4215972222222,9.254000000000001
SUGG,2024,274,16.442097597767113,15.9962259243128,2.7829221432297095,10.56,33.21,14.358815454567925,17.6447947354064,5.304598540145985
SUGG,2025,311,12.745423861314732,11.3391228070175,3.405796087035386,7.12,28.7,10.7770242917472,15.00999702406785,3.3100000000000005
SUGG,2026,91,9.156581658098975,9.14697916666667,0.7665537093014624,6.89,14.27,8.64370386904762,9.689581823671496,2.31
TOOK,2019,63,1.5350263187427862,1.62572916666667,0.40598769999333195,0.13,4.9,1.12970363849765,1.81730902777778,1.68
TOOK,2021,75,2.129139354490426,1.79843205574913,1.0711768750592252,0.53,8.65,1.541475694444445,2.232135416666665,1.9802666666666666
TOOK,2022,69,2.9321006695780865,2.79216606498195,0.6854709665796462,1.01,12.76,2.65402777777778,3.0185559566787,3.6888405797101447
TOOK,2023,79,3.5420557309549845,3.69625,0.7277249796143882,1.44,11.56,2.9307103174603197,4.073952224501985,2.7046835443037973
TOOK,2024,75,3.1528342033424495,2.93929078014184,0.9983775142318264,1.28,13.18,2.79558510638298,3.1094762830778597,2.9234666666666667
TOOK,2025,74,2.603160043416865,2.415866398232815,0.8314094007630256,0.34,10.79,2.0486652823920273,3.1202447396921174,3.811216216216216
