siteID,year,n_samples,chl_mean,chl_median,chl_sd,chl_min,chl_max,chl_q25,chl_q75
BARC,2017,3,1.3766666666666667,1.46,0.5101307022061438,0.83,1.84,1.145,1.65
BARC,2018,12,2.0416666666666665,1.985,0.770841728046017,1.09,3.4,1.33,2.485
BARC,2019,12,2.1550000000000002,1.3849999999999998,2.5027784560364106,1.19,10.07,1.2525,1.7325
BARC,2020,8,1.99375,2.005,0.48697132505782253,1.15,2.68,1.71,2.3475
BARC,2021,11,1.3790909090909091,1.14,0.9773479886453398,0.32,3.54,0.8400000000000001,1.75
BARC,2022,6,1.3366666666666667,1.41,0.3514351528613304,0.89,1.81,1.0725,1.5075
BARC,2023,6,4.886666666666667,3.54,4.502659954589805,0.89,10.79,1.0525,8.6375
BARC,2024,4,6.4725,7.180000000000001,5.0189133950155655,0.67,10.86,3.085,10.5675
BARC,2025,3,2.816666666666667,3.04,0.9352183345793288,1.79,3.62,2.415,3.33
BARC,2026,2,0.4,0.4,0.042426406871192854,0.37,0.43,0.38499999999999995,0.41500000000000004
CRAM,2018,9,35.25666666666667,3.72,55.68156517196692,3.06,161.59,3.42,47.69
CRAM,2019,11,2.7045454545454546,2.84,1.0618132004864473,1.03,3.98,1.97,3.5949999999999998
CRAM,2020,11,2.861818181818182,2.77,1.6662341863124652,1.1,5.74,1.5899999999999999,3.7800000000000002
CRAM,2021,9,5.184444444444444,3.16,5.48536715068169,1.84,18.72,2.21,4.08
CRAM,2022,9,10.904444444444444,13.08,5.78455942814816,2.67,18.03,5.13,14.92
CRAM,2023,9,10.156666666666666,11.94,5.199870190687456,3.28,16.36,4.15,14.49
CRAM,2024,4,8.865,8.115,6.930553128478755,2.94,16.29,2.9699999999999998,14.01
CRAM,2025,3,4.4,4.49,1.1875605247733692,3.17,5.54,3.83,5.015000000000001
LIRO,2018,6,2.77,2.46,1.623169738505496,1.41,5.83,1.6825,2.8925
LIRO,2019,9,6.0344444444444445,2.96,5.038871677050109,2.45,16.31,2.82,8.91
LIRO,2020,12,5.5633333333333335,3.16,5.345287360815784,1.84,17.79,2.2874999999999996,5.84
LIRO,2021,9,3.22,2.39,2.8945811441381286,1.77,10.84,1.88,2.6
LIRO,2022,9,7.377777777777777,6.83,4.7793613008899465,2.24,16.49,4.4,11.09
LIRO,2023,9,9.523333333333333,8.04,7.401998041069723,1.64,23.85,2.94,14.18
LIRO,2024,4,14.5625,14.555,8.436786019174205,4.24,24.9,11.7925,17.325000000000003
LIRO,2025,4,5.5,3.5,4.395937518512595,2.92,12.08,3.28,5.720000000000001
PRLA,2018,9,167.2488888888889,162.1,29.449776503585063,121.85,209.85,149.99,189.03
PRLA,2019,9,9.298888888888888,2.79,14.573839957647097,1.89,47.28,2.31,7.79
PRLA,2020,6,54.61833333333333,46.42,57.622896635509974,2.74,124.44,2.9775,101
PRLA,2021,9,41.782222222222224,56.27,25.704186807686497,3.8,68.18,18.98,65.25
PRLA,2022,6,54.27666666666667,58.92,15.412536023207428,33.88,69.37,41.595,66.29249999999999
PRLA,2023,9,31.337777777777777,36.41,12.031269444428734,14.7,44.59,18.2,42.29
PRLA,2024,3,104.86,108.16,6.278184450938022,97.62,108.8,102.89,108.47999999999999
PRLA,2025,4,137,132.5,24.387838499273904,112.4,170.6,125.82500000000002,143.67499999999998
PRPO,2018,10,30.088,26.265,11.57198321618017,19.02,52.51,20.67,36.7275
PRPO,2019,9,54.74111111111111,37.22,45.40820229992717,4.2,162.08,33.13,62.69
PRPO,2020,6,16.738333333333333,15.030000000000001,10.35648476398564,6.75,36.06,10.6675,17.5175
PRPO,2021,9,24.240000000000002,13.76,21.098865490826753,7.34,68.08,11.42,37.64
PRPO,2022,9,43.17,41.86,9.047543865602421,27.1,55.6,38.14,50.52
PRPO,2023,9,57.214444444444446,69.58,24.77093514136634,27.1,83.51,28.11,76.15
PRPO,2024,4,62.555,62.709999999999994,29.93530524314058,25.89,98.91,51,74.26499999999999
PRPO,2025,4,18.3525,15.690000000000001,7.285635982305639,13.06,28.97,13.930000000000001,20.1125
SUGG,2017,3,0.04333333333333333,0.03,0.1903505538035898,-0.14,0.24,-0.05500000000000001,0.135
SUGG,2018,12,1.1108333333333333,0.76,0.9068171945008675,0.39,3.56,0.5525,1.4275
SUGG,2019,16,1.591875,1.625,0.7421160623514357,0.32,2.92,0.9974999999999999,2.2175000000000002
SUGG,2020,8,2.87125,3.01,1.0491008054519833,1.31,4.16,2.4050000000000002,3.45
SUGG,2021,7,1.7028571428571428,1.05,0.9436050424783011,0.86,2.83,0.95,2.64
SUGG,2022,6,4.878333333333334,4.4,3.5133654331234414,1.43,9.32,1.8025,7.6875
SUGG,2023,6,5.925,5.6850000000000005,4.308553121408624,1.76,11.05,2.005,9.365
SUGG,2024,3,7.3933333333333335,7.5,3.071389479263959,4.27,10.41,5.885,8.955
SUGG,2025,4,4.935,3.13,4.234938016075324,2.3,11.18,2.3075,5.7575
SUGG,2026,2,4.795,4.795,0.26162950903902266,4.61,4.98,4.702500000000001,4.8875
TOOK,2018,9,0.9688888888888889,0.71,0.4986091767217198,0.3,1.81,0.7,1.23
TOOK,2019,9,1.6022222222222222,1.71,0.41342404918490705,0.75,2.06,1.51,1.88
TOOK,2020,9,1.3744444444444444,1.33,0.3312140965867512,1.01,1.9,1.12,1.56
TOOK,2021,9,1.4277777777777778,1.16,0.8025393725197814,0.62,2.99,0.92,1.7
TOOK,2022,9,4.227777777777778,4.04,1.157268095319509,3.08,6.88,3.3,4.49
TOOK,2023,9,6.065555555555555,5.4,1.2422873169189876,4.83,8.18,5.18,7.02
TOOK,2024,4,4.23,4.005,0.6493586579592717,3.73,5.18,3.8800000000000003,4.355
TOOK,2025,4,2.4250000000000003,2.495,1.303853263727684,1.05,3.66,1.4475,3.4725
