uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,startDate,collectDate,eventID,boutNumber,sampleID,sampleCode,sampleCondition,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,affectedByWind,samplerType,sampleNumber,towsTrapsNumber,towsTrapsVolume,zooDepth1,zooDepth2,zooDepth3,remarks,recordedBy,collectedBy,dataQF
"c031a14c-f2df-4295-83cb-fc114bbcfdde","D18","TOOK","TOOK.AOS.littoral3",68.625860,-149.598200,5.0,10.0,"WGS84",717.0,5.0,"lake","2020-07-20T05:12Z","2020-07-20T05:12Z","TOOK.20200719",1,"TOOK.20200719.SCHINDLER.2","A00000103008",,"NEON.DOC.001194vJ",,"OK - within bout window","N","Schindler-Patalas",2,3,36.00,0.5,2.0,3.5,,"0000-0001-6124-7021","0000-0001-5131-1181",
"08cae95c-76ee-40e9-a7a9-4785215cd98a","D18","TOOK","TOOK.AOS.littoral2",68.640502,-149.596089,5.0,10.0,"WGS84",717.0,5.0,"lake","2020-07-20T05:12Z","2020-07-20T05:12Z","TOOK.20200719",1,"TOOK.20200719.SCHINDLER.3","A00000103006",,"NEON.DOC.001194vJ",,"OK - within bout window","N","Schindler-Patalas",3,3,36.00,0.5,2.1,3.7,,"0000-0001-6124-7021","0000-0001-5131-1181",
"a8409d27-be38-4ef6-be44-1e91dd511444","D18","TOOK","TOOK.AOS.buoy.c1",68.630699,-149.611405,10.0,10.0,"WGS84",715.0,10.0,"lake","2020-07-20T05:12Z","2020-07-20T05:12Z","TOOK.20200719",1,"TOOK.20200719.TOWNET.1","A00000103009",,"NEON.DOC.001194vJ",,"OK - within bout window","N","tow net",1,1,1387.00,19.0,,,,"0000-0001-6124-7021","0000-0001-5131-1181",
