uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,startDate,collectDate,eventID,boutNumber,sampleID,sampleCode,sampleCondition,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,affectedByWind,samplerType,sampleNumber,towsTrapsNumber,towsTrapsVolume,zooDepth1,zooDepth2,zooDepth3,remarks,recordedBy,collectedBy,dataQF
"1c8d88cd-55bd-4627-b151-83d41ae82992","D05","LIRO","LIRO.AOS.littoral2",46.000609,-89.704078,1.1,10.0,"WGS84",495.9,1.0,"lake","2024-07-22T15:39Z","2024-07-22T15:39Z","LIRO.20240722",2,"LIRO.20240722.SCHINDLER.3","A00000455656","OK","NEON.DOC.001194vK",,"OK - within bout window","N","Schindler-Patalas",3,2,24.00,0.5,0.7,,,"0009-0001-8097-0087","0000-0003-1075-1249",
"2afb23fe-0292-45d8-a11b-207710fc7c7a","D05","LIRO","LIRO.AOS.littoral1",45.995205,-89.706502,1.1,10.0,"WGS84",496.5,1.0,"lake","2024-07-22T15:39Z","2024-07-22T15:39Z","LIRO.20240722",2,"LIRO.20240722.SCHINDLER.2","A00000455655","OK","NEON.DOC.001194vK",,"OK - within bout window","N","Schindler-Patalas",2,2,24.00,0.5,1.0,,,"0009-0001-8097-0087","0000-0003-1075-1249",
"8c560bc8-a0ff-422a-a717-6309c369b8b8","D05","LIRO","LIRO.AOS.buoy.c1",45.998322,-89.704766,10.0,10.0,"WGS84",502.0,10.0,"lake","2024-07-22T15:39Z","2024-07-22T15:39Z","LIRO.20240722",2,"LIRO.20240722.TOWNET.1","A00000455643","OK","NEON.DOC.001194vK",,"OK - within bout window","N","tow net",1,2,1095.00,7.5,7.5,,,"0009-0001-8097-0087","0000-0003-1075-1249",
