uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooSubsampleVolume,estConcentratedSampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,taxonDatabaseID,taxonDatabaseName,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"5b2915d6-4383-49cb-9af1-33e09a60b565","D18","TOOK","TOOK.AOS.littoral3","2020-08-19T18:12Z","2021-01-12","TOOK.20200819.SCHINDLER.2","A00000301718",,,"LEPSP31","Y","Leptodiaptomus sp.",,"genus","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,"Diaptomidae",,"Leptodiaptomus","sp.",,"N",1.215,1.322,1.274,,40,"coarse",5.000,5,40,"N","other (specified in remarks)","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford","Damaged",,
"7537644f-e893-47a2-8c31-5558e5704e73","D18","TOOK","TOOK.AOS.littoral2","2020-08-19T18:12Z","2021-01-12","TOOK.20200819.SCHINDLER.3","A00000301781",,,"COPSP","Y","Copepoda sp.",,"subclass","Arthropoda","Crustacea","Maxillopoda","Copepoda",,,,,,,,,"sp.",,"Y",0.176,0.278,0.214,,18,"coarse",5.000,5,18,"N","condition OK","N",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"65bf87df-dd57-45f1-8d77-15c91514424a","D18","TOOK","TOOK.AOS.littoral3","2020-08-19T18:12Z","2021-01-12","TOOK.20200819.SCHINDLER.2","A00000301718",,,"KELLON","Y","Kellicottia longispina",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Kellicottia","longispina",,"N",0.125,0.178,0.147,0.051,49,"fine",5.000,5,49,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"33fe40f7-7930-4bf0-9e4c-d3d394ecbbc0","D18","TOOK","TOOK.AOS.littoral3","2020-08-19T18:12Z","2021-01-12","TOOK.20200819.SCHINDLER.2","A00000301718",,,"COPSP","Y","Copepoda sp.",,"subclass","Arthropoda","Crustacea","Maxillopoda","Copepoda",,,,,,,,,"sp.",,"Y",0.155,0.275,0.209,,20,"coarse",5.000,5,20,"N","condition OK","N",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"2193fe54-2fec-4b2d-8d4a-f10b9fb72576","D18","TOOK","TOOK.AOS.buoy.c1","2020-08-19T18:12Z","2021-01-13","TOOK.20200819.TOWNET.1","A00000301749",,,"KELLON","Y","Kellicottia longispina",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Kellicottia","longispina",,"N",0.143,0.166,0.155,0.052,55,"fine",1.000,40,2200,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"89b69cfe-883f-4828-9428-6da03391499e","D18","TOOK","TOOK.AOS.littoral2","2020-08-19T18:12Z","2021-01-12","TOOK.20200819.SCHINDLER.3","A00000301781",,,"POMSUL","Y","Pompholyx sulcata",,"species","Rotifera",,"Monogonta","Monogononta",,"Gnesiotrocha","Flosculariaceae",,,"Testudinellidae",,"Pompholyx","sulcata",,"N",0.108,0.108,0.108,0.085,1,"fine",5.000,5,1,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"9486447a-059e-44c5-89c7-996d8238329f","D18","TOOK","TOOK.AOS.littoral2","2020-08-19T18:12Z","2021-01-12","TOOK.20200819.SCHINDLER.3","A00000301781",,,"LEPSP31","Y","Leptodiaptomus sp.",,"genus","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,"Diaptomidae",,"Leptodiaptomus","sp.",,"N",1.025,1.112,1.069,,5,"coarse",5.000,5,5,"N","other (specified in remarks)","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford","Damaged",,
"c23c20be-d6e5-4501-91b7-e7ad1b3d3224","D18","TOOK","TOOK.AOS.buoy.c1","2020-08-19T18:12Z","2021-01-13","TOOK.20200819.TOWNET.1","A00000301749",,,"CYCSP1","Y","Cyclopidae sp.",,"family","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Cyclopoida",,,"Cyclopidae",,,"sp.",,"N",0.562,0.872,0.738,,167,"coarse",1.000,40,6680,"N","other (specified in remarks)","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford","Copepodids",,
"a98a0b4a-c4ed-4774-84c0-80e6920b1901","D18","TOOK","TOOK.AOS.littoral2","2020-08-19T18:12Z","2021-01-12","TOOK.20200819.SCHINDLER.3","A00000301781",,,"KELLON","Y","Kellicottia longispina",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Kellicottia","longispina",,"N",0.145,0.415,0.222,0.052,207,"fine",5.000,5,207,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"eb8562b1-9b85-4a7c-a912-37356213acfd","D18","TOOK","TOOK.AOS.littoral2","2020-08-19T18:12Z","2021-01-12","TOOK.20200819.SCHINDLER.3","A00000301781",,,"KERSP","Y","Keratella sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","sp.",,"N",0.135,0.135,0.135,0.086,1,"fine",5.000,5,1,"N","other (specified in remarks)","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Hayford","Damaged",,
