uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,startDate,collectDate,eventID,boutNumber,sampleID,sampleCode,sampleCondition,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,affectedByWind,samplerType,sampleNumber,towsTrapsNumber,towsTrapsVolume,zooDepth1,zooDepth2,zooDepth3,remarks,recordedBy,collectedBy,dataQF
"0177760e-96b4-47f2-8b10-f79284c5c1d2","D05","CRAM","CRAM.AOS.littoral2",46.211995,-89.474460,1.1,10.0,"WGS84",512.5,1.0,"lake","2019-09-25T14:44Z","2019-09-25T14:44Z","CRAM.20190925",3,"CRAM.20190925.SCHINDLER.3","A00000078457",,"NEON.DOC.001194vH",,,,"Schindler-Patalas",3,2,24.00,0.5,2.2,,,"0000-0001-8705-5714","0000-0003-1075-1249",
"f70c0fdc-8af5-4098-bab3-2ddb44730396","D05","CRAM","CRAM.AOS.buoy.c1",46.210592,-89.476861,10.0,10.0,"WGS84",509.0,10.0,"lake","2019-09-25T14:44Z","2019-09-25T14:44Z","CRAM.20190925",3,"CRAM.20190925.TOWNET.2","A00000078460",,"NEON.DOC.001194vH",,,,"tow net",2,1,1022.00,14.0,,,,"0000-0001-8705-5714","0000-0003-1075-1249",
"7cf1495e-f1eb-46b4-8ac8-feac81a37e45","D05","CRAM","CRAM.AOS.littoral1",46.207952,-89.476193,1.1,10.0,"WGS84",512.5,1.0,"lake","2019-09-25T14:44Z","2019-09-25T14:44Z","CRAM.20190925",3,"CRAM.20190925.SCHINDLER.1","A00000078461",,"NEON.DOC.001194vH",,,,"Schindler-Patalas",1,2,24.00,0.5,1.5,,,"0000-0001-8705-5714","0000-0003-1075-1249",
